Date,Open,High,Low,Close,Adj Close,Volume
0,1998-02-27,17.375,18.0,17.375,17.375,14.636862754821776,50000
1,1998-03-02,17.25,17.25,17.0,17.25,14.5315580368042,75000
2,1998-03-03,17.125,17.125,16.75,17.125,14.426257133483888,35000
3,1998-03-04,15.75,15.75,15.5,15.75,13.2679443359375,60000
4,1998-03-05,16.125,16.125,16.125,16.125,13.583847999572754,400
5,1998-03-06,16.125,16.375,16.125,16.125,13.583847999572754,3600
6,1998-03-09,16.125,16.5,15.875,15.875,13.373247146606444,3200
7,1998-03-10,15.875,16.875,15.875,16.25,13.689149856567385,56800
8,1998-03-11,16.25,16.5,16.125,16.25,13.689149856567385,10400
9,1998-03-12,16.25,16.375,16.125,16.375,13.794452667236328,3800
10,1998-03-13,16.5,16.5,16.5,16.5,13.899752616882324,1000
11,1998-03-16,16.5,16.5,16.125,16.125,13.583847999572754,7700
12,1998-03-17,16.125,16.125,15.75,15.875,13.373247146606444,28000
13,1998-03-18,15.875,16.125,15.75,16.125,13.583847999572754,45700
14,1998-03-19,16.125,17.375,16.0,17.125,14.426257133483888,383600
15,1998-03-20,17.25,17.75,17.25,17.75,14.952760696411133,275600
16,1998-03-23,17.75,19.0,17.375,18.875,15.900476455688477,398600
17,1998-03-24,18.875,19.875,18.875,19.75,16.637582778930664,261800
18,1998-03-25,19.75,20.125,19.5,19.875,16.742877960205078,135600
19,1998-03-26,19.875,19.875,19.25,19.625,16.532283782958984,26300
20,1998-03-27,19.625,19.75,18.375,19.25,16.21637725830078,62200
21,1998-03-30,19.25,19.875,19.25,19.875,16.742877960205078,49500
22,1998-03-31,19.875,20.25,19.875,20.125,16.953487396240234,79000
23,1998-04-01,20.125,20.625,20.0,20.5,17.269384384155273,150100
24,1998-04-02,21.75,23.375,21.75,23.25,19.58601188659668,140500
25,1998-04-03,23.25,26.125,21.75,24.75,20.849628448486328,458700
26,1998-04-06,24.75,26.0,23.0,24.0,20.217817306518555,105300
27,1998-04-07,24.0,24.0,22.125,22.125,18.6382999420166,152800
28,1998-04-08,22.125,23.0,21.0,22.5,18.95420837402344,45100
29,1998-04-09,22.5,23.0,22.25,23.0,19.375408172607425,151400
30,1998-04-13,23.0,23.25,22.375,22.625,19.059505462646484,85900
31,1998-04-14,22.625,23.0,22.5,22.75,19.164810180664062,322900
32,1998-04-15,22.75,22.875,21.5,21.75,18.322397232055664,23100
33,1998-04-16,21.75,21.75,20.875,21.25,17.901195526123047,55400
34,1998-04-17,21.25,21.625,21.0,21.625,18.21710205078125,15100
35,1998-04-20,21.625,22.125,21.25,22.125,18.6382999420166,92900
36,1998-04-21,22.125,22.125,21.75,22.125,18.6382999420166,23100
37,1998-04-22,22.125,23.625,22.125,23.0,19.375408172607425,60900
38,1998-04-23,23.0,23.5,23.0,23.5,19.79662132263184,242300
39,1998-04-24,23.5,23.625,22.0,22.0,18.533004760742188,100900
40,1998-04-27,22.0,22.5,19.875,20.875,17.585294723510742,52200
41,1998-04-28,20.875,21.875,20.75,21.5,18.111793518066406,29100
42,1998-04-29,21.5,22.5,21.0,22.5,18.95420837402344,101300
43,1998-04-30,22.5,23.25,22.375,23.0,19.375408172607425,116300
44,1998-05-01,23.0,23.125,22.0,22.125,18.6382999420166,61000
45,1998-05-04,22.125,22.25,21.25,21.625,18.21710205078125,58400
46,1998-05-05,21.625,21.75,20.75,21.25,17.901195526123047,44000
47,1998-05-06,21.25,22.0,20.875,22.0,18.533004760742188,47300
48,1998-05-07,22.0,22.125,21.375,21.375,18.006492614746094,230900
49,1998-05-08,21.75,22.75,21.75,22.625,19.059505462646484,320700
50,1998-05-11,22.625,22.75,22.25,22.375,18.848907470703125,375200
51,1998-05-12,22.375,22.625,22.0,22.0,18.533004760742188,333300
52,1998-05-13,22.125,22.625,22.125,22.375,18.848907470703125,88100
53,1998-05-14,22.375,22.5,22.0,22.5,18.95420837402344,35600
54,1998-05-15,22.5,22.5,21.5,22.0,18.533004760742188,69200
55,1998-05-18,22.0,22.125,21.0,21.5,18.111793518066406,53200
56,1998-05-19,21.5,22.0,21.5,22.0,18.533004760742188,21000
57,1998-05-20,22.0,22.0,21.0,21.0,17.690595626831055,14100
58,1998-05-21,21.0,21.125,19.5,21.125,17.7958927154541,116400
59,1998-05-22,20.75,20.75,20.25,20.625,17.37468910217285,45100
60,1998-05-26,20.625,21.0,19.125,19.5,16.42698097229004,119500
61,1998-05-27,19.5,19.5,18.75,19.25,16.21637725830078,91100
62,1998-05-28,19.25,20.5,18.75,20.5,17.269384384155273,163600
63,1998-05-29,20.5,22.5,20.5,22.5,18.95420837402344,121900
64,1998-06-01,22.5,22.5,22.0,22.125,18.6382999420166,258500
65,1998-06-02,22.125,22.5,22.125,22.375,18.848907470703125,123400
66,1998-06-03,22.375,22.5,20.75,20.75,17.479990005493164,180600
67,1998-06-04,20.75,21.0,20.0,20.75,17.479990005493164,263200
68,1998-06-05,21.0,23.0,21.0,22.875,19.270109176635746,290100
69,1998-06-08,23.25,23.625,22.5,23.0,19.375408172607425,2718000
70,1998-06-09,23.0,23.0,22.0,22.375,18.848907470703125,604900
71,1998-06-10,22.5,23.125,22.5,22.875,19.270109176635746,149300
72,1998-06-11,22.875,23.0625,22.5625,23.0,19.375408172607425,697400
73,1998-06-12,23.0,23.0,22.375,22.5625,19.00685310363769,782000
74,1998-06-15,22.9375,22.9375,21.875,21.875,18.42770195007324,165900
75,1998-06-16,21.9375,22.0,21.75,21.75,18.322397232055664,95000
76,1998-06-17,21.9375,21.9375,21.5,21.9375,18.4803524017334,57400
77,1998-06-18,21.9375,21.9375,21.375,21.5,18.111793518066406,588700
78,1998-06-19,21.125,21.375,21.0625,21.1875,17.84854507446289,698100
79,1998-06-22,21.0,21.375,20.625,21.125,17.7958927154541,159500
80,1998-06-23,21.875,22.75,21.625,22.5,18.95420837402344,234000
81,1998-06-24,22.5,23.0625,22.5,23.0,19.375408172607425,275900
82,1998-06-25,23.0,23.625,22.6875,23.0,19.375408172607425,223500
83,1998-06-26,23.25,23.625,23.125,23.375,19.691316604614254,115800
84,1998-06-29,23.125,23.1875,21.625,22.875,19.270109176635746,188900
85,1998-06-30,22.9375,24.9375,22.6875,24.9375,21.00758171081543,566300
86,1998-07-01,25.0,25.625,24.375,24.6875,20.79697608947754,449600
87,1998-07-02,24.0,24.6875,24.0,24.0,20.217817306518555,5141900
88,1998-07-06,24.25,25.3125,24.1875,25.25,21.270828247070312,991100
89,1998-07-07,26.0625,27.0,25.625,25.875,21.797332763671875,1096000
90,1998-07-08,26.125,27.25,26.125,26.5,22.323843002319336,431200
91,1998-07-09,26.5,27.125,25.625,25.9375,21.849987030029297,659300
92,1998-07-10,26.125,26.625,25.75,26.25,22.11323928833008,334700
93,1998-07-13,26.9375,27.3125,26.6875,27.25,22.95565223693848,429600
94,1998-07-14,27.0,27.375,26.0,26.125,22.00793838500977,509200
95,1998-07-15,26.625,27.0,26.25,26.9375,22.692398071289062,225800
96,1998-07-16,27.375,27.375,26.5,26.9375,22.692398071289062,233300
97,1998-07-17,26.875,27.4375,26.375,27.0,22.745046615600582,479300
98,1998-07-20,26.75,27.4375,26.5625,27.0625,22.797704696655277,244800
99,1998-07-21,27.5625,28.125,27.25,27.4375,23.113603591918945,575300
100,1998-07-22,27.8125,28.125,27.5,27.75,23.376850128173828,630200
101,1998-07-23,28.0,28.5,27.75,28.0,23.58745002746582,496100
102,1998-07-24,27.875,28.625,27.25,27.875,23.482152938842773,245300
103,1998-07-27,27.625,27.625,26.375,26.5625,22.37649345397949,280600
104,1998-07-28,26.625,27.25,26.0,26.25,22.11323928833008,421600
105,1998-07-29,26.375,26.75,26.25,26.25,22.11323928833008,268000
106,1998-07-30,26.0,26.375,25.75,25.875,21.797332763671875,208200
107,1998-07-31,26.0,26.125,24.0,24.0,20.217817306518555,335600
108,1998-08-03,24.0,24.9375,24.0,24.9375,21.00758171081543,214700
109,1998-08-04,24.5,24.625,22.5,23.0,19.375408172607425,654300
110,1998-08-05,23.25,23.625,22.375,22.5,18.95420837402344,446700
111,1998-08-06,22.5,23.5,22.5,22.875,19.270109176635746,582600
112,1998-08-07,23.375,24.75,23.0,23.0,19.375408172607425,197300
113,1998-08-10,23.0,23.5,22.875,23.25,19.58601188659668,286500
114,1998-08-11,22.375,22.75,22.0,22.75,19.164810180664062,231200
115,1998-08-12,23.5,24.375,23.3125,24.0625,20.27046775817871,555700
116,1998-08-13,23.875,24.9375,23.75,24.125,20.323118209838867,171600
117,1998-08-14,24.25,24.4375,23.5,23.5625,19.849266052246094,62600
118,1998-08-17,23.6875,24.0,23.1875,23.1875,19.533357620239254,107100
119,1998-08-18,23.375,23.375,22.25,22.3125,18.79625129699707,111600
120,1998-08-19,22.3125,22.5,20.375,20.75,17.479990005493164,213100
121,1998-08-20,20.75,20.75,19.75,20.125,16.953487396240234,834700
122,1998-08-21,20.0,20.25,19.5,20.25,17.058786392211914,462900
123,1998-08-24,20.1875,20.375,19.9375,20.0,16.848180770874023,124100
124,1998-08-25,20.1875,20.375,19.875,20.0,16.848180770874023,314800
125,1998-08-26,20.0,20.0,19.0625,19.5,16.42698097229004,438900
126,1998-08-27,18.625,18.625,17.25,18.0625,15.216014862060549,525400
127,1998-08-28,18.25,18.75,16.75,17.0,14.320956230163574,453600
128,1998-08-31,17.0,17.1875,14.375,15.75,13.2679443359375,412700
129,1998-09-01,16.0,17.0,15.5,17.0,14.320956230163574,363300
130,1998-09-02,17.0,19.625,17.0,19.25,16.21637725830078,813400
131,1998-09-03,18.5,19.25,18.5,18.875,15.900476455688477,444100
132,1998-09-04,18.5,18.6875,18.0625,18.625,15.689867973327637,78000
133,1998-09-08,20.125,20.1875,19.875,20.0,16.848180770874023,922600
134,1998-09-09,19.75,21.0625,19.75,20.875,17.585294723510742,394600
135,1998-09-10,20.625,21.0,19.9375,21.0,17.690595626831055,483700
136,1998-09-11,20.75,22.375,20.625,22.125,18.6382999420166,281400
137,1998-09-14,23.0,23.75,22.5625,23.0,19.375408172607425,231600
138,1998-09-15,22.75,22.9375,22.375,22.9375,19.322757720947266,816000
139,1998-09-16,23.1875,23.375,22.375,23.25,19.58601188659668,1176700
140,1998-09-17,22.875,22.875,22.0,22.3125,18.79625129699707,221200
141,1998-09-18,22.5,22.5,21.375,22.1875,18.690954208374023,104200
142,1998-09-21,21.125,22.125,21.125,22.125,18.6382999420166,137800
143,1998-09-22,22.1875,22.375,22.0,22.125,18.6382999420166,250200
144,1998-09-23,22.1875,22.8125,22.125,22.6875,19.112159729003903,274000
145,1998-09-24,22.5625,23.0,22.5625,23.0,19.375408172607425,131300
146,1998-09-25,22.875,23.0,22.625,22.875,19.270109176635746,115200
147,1998-09-28,22.875,23.25,22.75,22.875,19.270109176635746,81300
148,1998-09-29,22.75,23.0625,22.5,23.0,19.375408172607425,182800
