,Date,Open,High,Low,Close,Adj Close,Volume
0,1973-02-21,4.625,4.625,4.625,4.625,1.692766189575195,99200
1,1973-02-22,4.640625,4.640625,4.640625,4.640625,1.6984843015670776,47200
2,1973-02-23,4.625,4.625,4.625,4.625,1.692766189575195,133600
3,1973-02-26,4.625,4.625,4.625,4.625,1.692766189575195,24000
4,1973-02-27,4.625,4.625,4.625,4.625,1.692766189575195,41600
5,1973-02-28,4.625,4.625,4.625,4.625,1.692766189575195,66400
6,1973-03-01,4.65625,4.65625,4.65625,4.65625,1.7042030096054075,93600
7,1973-03-02,4.671875,4.671875,4.671875,4.671875,1.709922194480896,26400
8,1973-03-05,4.734375,4.734375,4.734375,4.734375,1.73279869556427,68000
9,1973-03-06,4.875,4.875,4.875,4.875,1.784266471862793,76800
10,1973-03-07,4.875,4.875,4.875,4.875,1.784266471862793,51200
11,1973-03-08,4.90625,4.90625,4.90625,4.90625,1.795703411102295,84800
12,1973-03-09,4.90625,4.90625,4.90625,4.90625,1.795703411102295,78400
13,1973-03-12,4.890625,4.890625,4.890625,4.890625,1.7899855375289917,73600
14,1973-03-13,4.90625,4.90625,4.90625,4.90625,1.795703411102295,47200
15,1973-03-14,4.921875,4.921875,4.921875,4.921875,1.8014235496520996,50400
16,1973-03-15,4.90625,4.90625,4.90625,4.90625,1.795703411102295,70400
17,1973-03-16,4.890625,4.890625,4.890625,4.890625,1.7899855375289917,44800
18,1973-03-19,4.84375,4.84375,4.84375,4.84375,1.7728298902511597,28000
19,1973-03-20,4.75,4.75,4.75,4.75,1.7385153770446775,68800
20,1973-03-21,4.6875,4.6875,4.6875,4.6875,1.7156407833099363,94400
21,1973-03-22,4.609375,4.609375,4.609375,4.609375,1.6870464086532593,55200
22,1973-03-23,4.609375,4.609375,4.609375,4.609375,1.6870464086532593,117600
23,1973-03-26,4.59375,4.59375,4.59375,4.59375,1.681328296661377,9600
24,1973-03-27,4.59375,4.59375,4.59375,4.59375,1.681328296661377,15200
25,1973-03-28,4.65625,4.65625,4.65625,4.65625,1.7042030096054075,141600
26,1973-03-29,4.71875,4.71875,4.71875,4.71875,1.7270790338516235,120000
27,1973-03-30,4.71875,4.71875,4.71875,4.71875,1.7270790338516235,85600
28,1973-04-02,4.6875,4.6875,4.6875,4.6875,1.7156407833099363,52800
29,1973-04-03,4.65625,4.65625,4.65625,4.65625,1.7042030096054075,23200
30,1973-04-04,4.625,4.625,4.625,4.625,1.692766189575195,78400
31,1973-04-05,4.609375,4.609375,4.609375,4.609375,1.6870464086532593,78400
32,1973-04-06,4.609375,4.609375,4.609375,4.609375,1.6870464086532593,36000
33,1973-04-09,4.609375,4.609375,4.609375,4.609375,1.6870464086532593,28000
34,1973-04-10,4.71875,4.71875,4.71875,4.71875,1.7270790338516235,88800
35,1973-04-11,4.75,4.75,4.75,4.75,1.7385153770446775,144000
36,1973-04-12,4.8125,4.8125,4.8125,4.8125,1.7613917589187622,140800
37,1973-04-13,4.8125,4.8125,4.8125,4.8125,1.7613917589187622,13600
38,1973-04-16,4.8125,4.8125,4.8125,4.8125,1.7613917589187622,40000
39,1973-04-17,4.6875,4.6875,4.6875,4.6875,1.7156407833099363,92800
40,1973-04-18,4.671875,4.671875,4.671875,4.671875,1.709922194480896,25600
41,1973-04-19,4.6875,4.6875,4.6875,4.6875,1.7156407833099363,39200
42,1973-04-23,4.625,4.625,4.625,4.625,1.692766189575195,48000
43,1973-04-24,4.59375,4.59375,4.59375,4.59375,1.681328296661377,134400
44,1973-04-25,4.5625,4.5625,4.5625,4.5625,1.669890522956848,59200
45,1973-04-26,4.5625,4.5625,4.5625,4.5625,1.669890522956848,33600
46,1973-04-27,4.53125,4.53125,4.53125,4.53125,1.658453106880188,36800
47,1973-04-30,4.46875,4.46875,4.46875,4.46875,1.6355770826339722,91200
48,1973-05-01,4.4375,4.4375,4.4375,4.4375,1.6241408586502075,295200
49,1973-05-02,4.453125,4.453125,4.453125,4.453125,1.629859209060669,61600
50,1973-05-03,0.0,4.5,4.4375,4.4375,1.6241408586502075,56000
51,1973-05-04,0.0,4.546875,4.484375,4.484375,1.641296625137329,43200
52,1973-05-07,0.0,4.5625,4.5,4.5,1.6470155715942385,42400
53,1973-05-08,0.0,4.578125,4.515625,4.515625,1.6527341604232788,28800
54,1973-05-09,0.0,4.703125,4.640625,4.640625,1.6984843015670776,58400
55,1973-05-10,0.0,4.8125,4.75,4.75,1.7385153770446775,70400
56,1973-05-11,0.0,4.828125,4.765625,4.765625,1.7442351579666138,26400
57,1973-05-14,0.0,4.65625,4.59375,4.59375,1.681328296661377,151200
58,1973-05-15,0.0,4.640625,4.578125,4.578125,1.675610065460205,163200
59,1973-05-16,0.0,4.734375,4.671875,4.671875,1.709922194480896,75200
60,1973-05-17,0.0,4.734375,4.671875,4.671875,1.709922194480896,27200
61,1973-05-18,0.0,4.6875,4.625,4.625,1.692766189575195,59200
62,1973-05-21,0.0,4.671875,4.609375,4.609375,1.6870464086532593,60800
63,1973-05-22,0.0,4.71875,4.65625,4.65625,1.7042030096054075,95200
64,1973-05-23,0.0,4.734375,4.671875,4.671875,1.709922194480896,34400
65,1973-05-24,0.0,4.84375,4.78125,4.78125,1.7499537467956543,60000
66,1973-05-25,0.0,4.90625,4.84375,4.84375,1.7728298902511597,111200
67,1973-05-29,0.0,4.9375,4.875,4.875,1.784266471862793,144800
