Date,Open,High,Low,Close,Adj Close,Volume
0,1999-03-31,451.5,517.5,438.0,497.25,497.25,1322933
1,1999-04-01,550.5,552.0,475.5,483.0,483.0,483233
2,1999-04-05,501.0,504.0,435.0,450.75,450.75,324917
3,1999-04-06,452.25,484.125,420.0,474.0,474.0,353900
4,1999-04-07,480.75,487.5,442.5,447.0,447.0,156617
5,1999-04-08,447.0,450.75,423.75,435.0,435.0,147767
6,1999-04-09,432.0,456.0,406.5,444.0,444.0,141933
7,1999-04-12,420.75,475.5,414.0,459.375,459.375,182833
8,1999-04-13,472.5,515.25,463.5,489.0,489.0,240033
9,1999-04-14,554.25,595.5,510.0,558.75,558.75,627933
10,1999-04-15,564.0,564.0,459.0,479.25,479.25,339117
11,1999-04-16,486.0,510.0,438.0,488.25,488.25,176683
12,1999-04-19,490.5,492.0,348.0,359.25,359.25,229150
13,1999-04-20,359.25,414.0,348.0,405.75,405.75,264100
14,1999-04-21,429.0,456.0,405.75,447.0,447.0,150483
15,1999-04-22,486.375,490.5,441.0,458.25,458.25,145683
16,1999-04-23,516.375,574.5,492.0,528.0,528.0,741767
17,1999-04-26,626.625,728.625,604.5,724.5,724.5,1352367
18,1999-04-27,738.75,840.0,720.75,778.125,778.125,1196750
19,1999-04-28,749.625,806.625,696.0,726.0,726.0,448867
20,1999-04-29,690.375,833.25,690.0,826.875,826.875,721900
21,1999-04-30,909.0,990.0,810.0,974.25,974.25,845467
22,1999-05-03,914.625,953.25,833.25,835.5,835.5,873317
23,1999-05-04,855.75,900.0,783.75,804.0,804.0,692750
24,1999-05-05,847.125,912.0,720.75,907.125,907.125,1264033
25,1999-05-06,888.0,912.0,827.25,836.625,836.625,632083
26,1999-05-07,865.5,865.875,777.75,783.9375,783.9375,569683
27,1999-05-10,768.0,791.25,726.0,768.0,768.0,449167
28,1999-05-11,807.0,808.5,738.0,738.0,738.0,286467
29,1999-05-12,736.5,774.0,732.0,756.0,756.0,240517
30,1999-05-13,779.25,792.0,726.0,729.0,729.0,187167
31,1999-05-14,720.0,807.0,714.0,796.875,796.875,792600
32,1999-05-17,789.0,793.875,744.0,790.5,790.5,341400
33,1999-05-18,787.5,838.5,766.125,816.75,816.75,418517
34,1999-05-19,820.5,865.5,808.5,855.0,855.0,226583
35,1999-05-20,869.625,870.0,786.75,806.25,806.25,174400
36,1999-05-21,871.875,874.5,822.0,833.625,833.625,553733
37,1999-05-24,829.5,833.25,726.75,752.0625,752.0625,314600
38,1999-05-25,726.0,776.25,618.0,624.0,624.0,540600
39,1999-05-26,651.0,690.0,582.0,682.6875,682.6875,691100
40,1999-05-27,676.5,702.0,654.375,664.875,664.875,273617
41,1999-05-28,642.0,673.5,636.0,672.1875,672.1875,194833
42,1999-06-01,657.75,663.0,585.0,596.625,596.625,353983
43,1999-06-02,577.5,634.125,534.75,557.4375,557.4375,748050
44,1999-06-03,560.25,575.25,504.0,504.75,504.75,448450
45,1999-06-04,507.0,553.5,500.25,541.875,541.875,431817
46,1999-06-07,555.0,657.0,549.75,609.0,609.0,738183
47,1999-06-08,629.25,666.0,609.75,625.5,625.5,560267
48,1999-06-09,639.75,653.25,617.25,630.0,630.0,224783
49,1999-06-10,604.125,624.75,600.0,613.5,613.5,290533
50,1999-06-11,624.0,637.5,570.0,574.125,574.125,268367
51,1999-06-14,564.0,564.0,459.0,461.25,461.25,534317
52,1999-06-15,456.75,505.875,448.5,470.625,470.625,544217
53,1999-06-16,510.0,540.0,502.5,531.0,531.0,522133
54,1999-06-17,525.0,570.0,502.125,533.625,533.625,439050
55,1999-06-18,548.25,571.125,546.0,564.0,564.0,257800
56,1999-06-21,574.5,655.5,571.5,637.875,637.875,484800
57,1999-06-22,654.375,716.625,634.5,652.5,652.5,766100
58,1999-06-23,624.0,683.625,624.0,665.25,665.25,435500
59,1999-06-24,649.5,657.0,612.0,612.0,612.0,314117
60,1999-06-25,632.625,644.25,573.0,574.5,574.5,380433
61,1999-06-28,594.0,633.75,552.0,633.0,633.0,444450
62,1999-06-29,618.75,666.0,614.625,645.0,645.0,384483
63,1999-06-30,637.5,714.0,625.5,693.375,693.375,437417
64,1999-07-01,701.25,710.25,643.5,645.0,645.0,329517
65,1999-07-02,654.0,681.0,654.0,669.0,669.0,183617
66,1999-07-06,681.375,703.125,672.0,672.0,672.0,314250
67,1999-07-07,678.0,678.0,639.0,666.0,666.0,274083
68,1999-07-08,677.25,697.5,657.0,664.125,664.125,294800
69,1999-07-09,672.375,678.0,650.25,654.0,654.0,116600
70,1999-07-12,655.875,660.0,624.0,629.0625,629.0625,143467
71,1999-07-13,604.875,626.25,600.0,618.75,618.75,145050
72,1999-07-14,621.75,636.0,619.5,625.5,625.5,103967
73,1999-07-15,626.25,633.0,600.0,606.75,606.75,107133
74,1999-07-16,601.5,609.0,582.0,584.4375,584.4375,160617
75,1999-07-19,633.0,648.0,585.0,585.9375,585.9375,464333
76,1999-07-20,572.25,576.0,546.0,549.375,549.375,278400
77,1999-07-21,550.875,551.25,519.0,529.3125,529.3125,303617
78,1999-07-22,522.375,528.0,498.0,501.375,501.375,228600
79,1999-07-23,501.75,514.5,480.375,487.125,487.125,281617
80,1999-07-26,478.875,495.75,465.0,469.125,469.125,268383
81,1999-07-27,484.5,486.0,440.625,441.9375,441.9375,352817
82,1999-07-28,462.0,513.0,450.0,510.0,510.0,578900
83,1999-07-29,486.75,492.0,465.0,483.0,483.0,333083
84,1999-07-30,489.0,490.5,450.0,453.375,453.375,208083
85,1999-08-02,451.875,485.25,438.0,465.0,465.0,324467
86,1999-08-03,474.0,477.0,426.75,438.375,438.375,302050
87,1999-08-04,435.0,444.75,396.0,397.5,397.5,367850
88,1999-08-05,386.25,478.5,354.0,468.75,468.75,801383
89,1999-08-06,460.5,505.875,440.25,446.25,446.25,422067
90,1999-08-09,453.0,461.625,417.75,420.0,420.0,222100
91,1999-08-10,410.25,451.125,396.0,430.5,430.5,432800
92,1999-08-11,453.0,457.5,414.0,420.0,420.0,410583
93,1999-08-12,408.75,426.75,401.625,403.875,403.875,820100
94,1999-08-13,421.125,423.75,391.5,399.0,399.0,321433
95,1999-08-16,401.25,423.0,400.5,412.5,412.5,343200
96,1999-08-17,420.0,433.5,408.0,420.375,420.375,333700
97,1999-08-18,432.75,449.25,420.75,424.5,424.5,388700
98,1999-08-19,416.25,423.0,398.25,399.0,399.0,332800
99,1999-08-20,402.0,409.5,393.75,406.5,406.5,205217
100,1999-08-23,411.75,430.5,402.0,402.375,402.375,272467
101,1999-08-24,401.25,417.0,394.5,405.75,405.75,309367
102,1999-08-25,408.75,418.125,385.5,391.125,391.125,336300
103,1999-08-26,412.5,449.25,411.0,435.75,435.75,855783
104,1999-08-27,449.25,456.0,420.75,441.0,441.0,395150
105,1999-08-30,441.75,441.75,399.0,401.0625,401.0625,280867
106,1999-08-31,408.0,417.0,396.0,408.75,408.75,258167
107,1999-09-01,420.75,423.0,393.0,393.5625,393.5625,265400
108,1999-09-02,384.75,393.75,375.0,384.1875,384.1875,194117
109,1999-09-03,411.0,411.0,390.0,398.25,398.25,203500
110,1999-09-07,411.0,420.0,401.25,406.875,406.875,395417
111,1999-09-08,401.625,403.5,376.5,379.5,379.5,406450
112,1999-09-09,378.375,383.25,329.25,348.9375,348.9375,905250
113,1999-09-10,367.875,372.0,339.0,347.625,347.625,482400
114,1999-09-13,365.25,366.0,321.0,333.75,333.75,724033
115,1999-09-14,331.875,369.0,330.0,360.0,360.0,723450
116,1999-09-15,370.875,372.0,350.25,360.0,360.0,400317
117,1999-09-16,362.25,363.75,334.5,342.75,342.75,363567
118,1999-09-17,348.375,364.5,346.5,349.5,349.5,377867
119,1999-09-20,367.5,390.09375,364.5,385.125,385.125,790233
120,1999-09-21,387.375,414.75,384.0,401.0625,401.0625,830033
121,1999-09-22,423.75,441.0,421.5,429.75,429.75,920250
122,1999-09-23,440.25,447.0,390.0,390.375,390.375,542000
123,1999-09-24,392.25,414.0,379.125,393.375,393.375,447067
124,1999-09-27,372.0,382.5,360.75,370.3125,370.3125,647683
125,1999-09-28,370.875,375.0,360.0,368.25,368.25,268150
