Date,Open,High,Low,Close,Adj Close,Volume
1993-08-13,3.171875,3.1875,3.125,3.125,2.272559404373169,14796800
1993-08-16,3.140625,3.140625,3.03125,3.09375,2.2498340606689453,3422400
1993-08-17,3.0625,3.09375,3.046875,3.046875,2.2157442569732666,732800
1993-08-18,3.046875,3.125,3.046875,3.09375,2.2498340606689453,1084800
1993-08-19,3.078125,3.15625,3.0625,3.15625,2.2952849864959717,832800
1993-08-20,3.15625,3.203125,3.140625,3.1875,2.318010091781616,464000
1993-08-23,3.171875,3.171875,3.140625,3.140625,2.283921957015991,146400
1993-08-24,3.15625,3.15625,3.125,3.125,2.272559404373169,354400
1993-08-25,3.125,3.15625,3.125,3.15625,2.2952849864959717,214400
1993-08-26,3.15625,3.1875,3.15625,3.15625,2.2952849864959717,287200
1993-08-27,3.15625,3.21875,3.15625,3.1875,2.318010091781616,330400
1993-08-30,3.203125,3.21875,3.171875,3.1875,2.318010091781616,120800
1993-08-31,3.203125,3.203125,3.171875,3.203125,2.3293728828430176,233600
1993-09-01,3.171875,3.1875,3.171875,3.1875,2.318010091781616,196800
1993-09-02,3.1875,3.1875,3.125,3.125,2.272559404373169,132000
1993-09-03,3.125,3.15625,3.0625,3.0625,2.2271082401275635,51200
1993-09-07,3.09375,3.15625,3.09375,3.09375,2.2498340606689453,984800
1993-09-08,3.125,3.125,2.953125,3.0,2.1816565990448,208800
1993-09-09,2.96875,3.0,2.96875,2.984375,2.1702942848205566,277600
1993-09-10,3.0,3.0,2.859375,2.875,2.0907540321350098,152000
1993-09-13,2.875,2.9375,2.875,2.875,2.0907540321350098,320800
1993-09-14,2.90625,2.90625,2.71875,2.71875,1.977126955986023,1212000
1993-09-15,2.65625,2.875,2.5625,2.875,2.0907540321350098,1803200
1993-09-16,2.875,2.875,2.78125,2.859375,2.0793914794921875,248000
1993-09-17,2.828125,2.96875,2.828125,2.953125,2.147566795349121,784800
1993-09-20,3.0,3.03125,2.90625,2.90625,2.1134791374206543,484800
1993-09-21,2.875,2.875,2.78125,2.828125,2.0566656589508057,240000
1993-09-22,2.828125,2.828125,2.765625,2.796875,2.033940315246582,152000
1993-09-23,2.78125,2.78125,2.71875,2.734375,1.988488793373108,946400
1993-09-24,2.734375,2.828125,2.734375,2.8125,2.0453028678894043,480800
1993-09-27,2.8125,2.90625,2.8125,2.890625,2.102116584777832,86400
1993-09-28,2.890625,2.90625,2.890625,2.890625,2.102116584777832,98400
1993-09-29,3.125,3.125,3.078125,3.125,2.272559404373169,788800
1993-09-30,3.125,3.3125,3.125,3.296875,2.3975489139556885,1268000
1993-10-01,3.296875,3.296875,3.1875,3.25,2.3634607791900635,548800
1993-10-04,3.21875,3.25,3.203125,3.203125,2.3293728828430176,387200
1993-10-05,3.140625,3.140625,3.03125,3.03125,2.2043814659118652,482400
1993-10-06,3.03125,3.0625,3.03125,3.0625,2.2271082401275635,42400
1993-10-07,3.046875,3.078125,3.046875,3.078125,2.2384703159332275,8000
1993-10-08,3.078125,3.125,3.078125,3.125,2.272559404373169,905600
1993-10-11,3.109375,3.28125,3.109375,3.28125,2.3861868381500244,713600
1993-10-12,3.265625,3.296875,3.25,3.28125,2.3861868381500244,176800
1993-10-13,3.296875,3.296875,3.25,3.25,2.3634607791900635,346400
1993-10-14,3.28125,3.328125,3.28125,3.296875,2.3975489139556885,383200
1993-10-15,3.3125,3.328125,3.296875,3.296875,2.3975489139556885,144000
1993-10-18,3.296875,3.34375,3.296875,3.296875,2.3975489139556885,160000
1993-10-19,3.3125,3.3125,3.28125,3.296875,2.3975489139556885,396800
1993-10-20,3.296875,3.3125,3.296875,3.3125,2.4089109897613525,304000
1993-10-21,3.3125,3.328125,3.3125,3.3125,2.4089109897613525,90400
1993-10-22,3.3125,3.328125,3.3125,3.3125,2.4089109897613525,80000
1993-10-25,3.3125,3.328125,3.3125,3.3125,2.4089109897613525,87200
1993-10-26,3.328125,3.328125,3.25,3.25,2.3634607791900635,502400
