,Date,Open,High,Low,Close,Adj Close,Volume
0,1986-07-09,10.6875,11.0625,10.5625,11.0,7.735039710998535,1116800
1,1986-07-10,11.0625,11.125,10.6875,10.9375,7.691091060638428,595600
2,1986-07-11,10.875,10.9375,10.5625,10.5625,7.427396297454834,800400
3,1986-07-14,10.625,10.625,10.125,10.25,7.207653522491455,738000
4,1986-07-15,10.1875,10.1875,9.3125,9.9375,6.987905502319336,2059200
5,1986-07-16,9.9375,10.5,9.9375,10.125,7.119754791259766,1160400
6,1986-07-17,10.125,10.25,10.0,10.1875,7.163703441619873,1046000
7,1986-07-18,10.1875,10.34375,10.0,10.25,7.207653522491455,1420000
8,1986-07-21,10.25,10.3125,10.1875,10.25,7.207653522491455,322800
9,1986-07-22,10.25,10.28125,10.1875,10.1875,7.163703441619873,390800
10,1986-07-23,10.25,10.25,10.0,10.0625,7.075804710388184,1004000
11,1986-07-24,10.0625,10.125,9.8125,9.9375,6.987905502319336,1071600
12,1986-07-25,9.9375,10.125,9.875,10.0625,7.075804710388184,688400
13,1986-07-28,10.0625,10.25,9.96875,10.125,7.119754791259766,414800
14,1986-07-29,10.0,10.1875,10.0,10.1875,7.163703441619873,278400
15,1986-07-30,10.0625,10.125,9.875,10.125,7.119754791259766,459200
16,1986-07-31,10.125,10.25,10.0,10.0625,7.075804710388184,1213600
17,1986-08-01,10.0,10.125,9.75,9.75,6.856061458587647,1118000
18,1986-08-04,9.8125,9.8125,9.53125,9.75,6.856061458587647,892400
19,1986-08-05,9.75,9.75,9.5,9.5625,6.724210739135742,868800
20,1986-08-06,9.5625,9.625,9.125,9.125,6.416571140289307,550400
21,1986-08-07,9.0,9.0625,8.125,8.375,5.88917875289917,7560000
22,1986-08-08,8.4375,8.9375,8.375,8.875,6.240772724151611,2802000
23,1986-08-11,9.0,9.125,8.875,9.125,6.416571140289307,1428000
24,1986-08-12,9.125,9.4375,9.125,9.375,6.592363357543945,1155200
25,1986-08-13,9.4375,10.09375,9.375,9.6875,6.812112808227539,865600
26,1986-08-14,9.75,9.8125,9.375,9.5,6.680263042449951,762000
27,1986-08-15,9.5,9.5,9.1875,9.375,6.592363357543945,654400
28,1986-08-18,9.4375,9.875,9.25,9.6875,6.812112808227539,606800
29,1986-08-19,9.75,9.75,9.5,9.5625,6.724210739135742,2744000
30,1986-08-20,9.5625,9.5625,9.375,9.5,6.680263042449951,500000
31,1986-08-21,9.5,9.5625,9.4375,9.4375,6.636315822601318,353200
32,1986-08-22,9.5,9.5625,9.375,9.375,6.592363357543945,286000
33,1986-08-25,9.5,9.5,9.125,9.25,6.5044684410095215,766400
34,1986-08-26,9.1875,9.375,9.1875,9.375,6.592363357543945,408800
35,1986-08-27,9.375,9.375,9.1875,9.3125,6.5484161376953125,686400
36,1986-08-28,9.3125,9.3125,9.125,9.1875,6.460517883300781,286000
37,1986-08-29,9.125,9.25,9.0625,9.125,6.416571140289307,1128800
38,1986-09-02,9.1875,9.1875,8.6875,8.75,6.152873992919922,916800
39,1986-09-03,8.75,8.9375,8.6875,8.9375,6.284722328186035,684400
40,1986-09-04,9.0,9.3125,8.875,9.3125,6.5484161376953125,576800
41,1986-09-05,9.3125,9.4375,9.0,9.0,6.328671932220459,961600
42,1986-09-08,9.125,9.125,8.625,8.75,6.152873992919922,1793200
43,1986-09-09,8.6875,8.75,8.5,8.625,6.064976692199707,388000
44,1986-09-10,8.625,8.625,8.5,8.5,5.977078437805176,802400
45,1986-09-11,8.5625,8.5625,7.75,7.9375,5.581536293029785,6240000
46,1986-09-12,7.875,7.9375,7.5625,7.625,5.361790657043457,2066800
47,1986-09-15,7.625,7.75,7.4375,7.625,5.361790657043457,1746800
48,1986-09-16,7.5625,7.625,7.3125,7.4375,5.229943752288818,1547200
49,1986-09-17,7.5,7.5,7.0625,7.375,5.1859941482543945,997600
50,1986-09-18,7.375,8.75,7.375,8.75,6.152873992919922,833200
51,1986-09-19,8.75,8.75,8.1875,8.5625,6.0210280418396,928000
52,1986-09-22,8.5625,8.6875,8.375,8.5,5.977078437805176,464000
53,1986-09-23,8.5625,8.5625,8.0625,8.25,5.801280498504639,436400
54,1986-09-24,8.25,8.5625,8.125,8.5,5.977078437805176,649600
55,1986-09-25,8.5,8.5,8.3125,8.3125,5.845230102539063,305600
56,1986-09-26,8.3125,8.4375,8.25,8.3125,5.845230102539063,278400
57,1986-09-29,8.375,8.375,8.0625,8.25,5.801280498504639,724800
58,1986-09-30,8.1875,8.75,8.1875,8.5625,6.0210280418396,773200
59,1986-10-01,8.6875,8.75,8.5625,8.5625,6.0210280418396,668400
60,1986-10-02,8.5625,8.625,8.5625,8.5625,6.0210280418396,592000
61,1986-10-03,8.625,8.625,8.25,8.375,5.88917875289917,228000
62,1986-10-06,8.5,8.5,8.3125,8.4375,5.933129787445068,467600
63,1986-10-07,8.375,8.5,8.375,8.4375,5.933129787445068,176000
64,1986-10-08,8.5,8.625,8.4375,8.625,6.064976692199707,558800
65,1986-10-09,8.625,8.625,8.375,8.4375,5.933129787445068,243200
66,1986-10-10,8.4375,8.4375,8.25,8.3125,5.845230102539063,238400
67,1986-10-13,8.375,8.375,8.0625,8.0625,5.669435024261475,362800
