Date,Open,High,Low,Close,Adj Close,Volume
0,1992-06-17,8.5,8.75,7.75,7.9375,4.833584785461426,902000
1,1992-06-18,7.9375,7.9375,7.5,7.8125,4.75746488571167,421400
2,1992-06-19,7.8125,7.9375,7.75,7.875,4.795522689819336,453400
3,1992-06-22,7.875,7.875,7.5625,7.625,4.643283843994141,597200
4,1992-06-23,7.625,7.75,7.625,7.6875,4.681344985961914,853800
5,1992-06-24,7.6875,7.75,7.5,7.5625,4.605227470397949,357600
6,1992-06-25,7.6875,7.8125,7.6875,7.6875,4.681344985961914,785000
7,1992-06-26,7.6875,7.75,7.625,7.75,4.7194037437438965,435000
8,1992-06-29,7.6875,7.8125,7.625,7.8125,4.75746488571167,386600
9,1992-06-30,7.8125,8.0625,7.8125,8.0625,4.90970516204834,884400
10,1992-07-01,7.875,7.9375,7.8125,7.875,4.795522689819336,552600
11,1992-07-02,7.9375,8.0625,7.6875,8.0625,4.90970516204834,1788200
12,1992-07-06,7.9375,7.9375,7.6875,7.75,4.7194037437438965,580400
13,1992-07-07,7.8125,7.8125,7.1875,7.3125,4.452986240386963,1147000
14,1992-07-08,7.375,7.375,6.8125,6.9375,4.224628925323486,1192800
15,1992-07-09,6.9375,7.3125,6.9375,7.3125,4.452986240386963,2136600
16,1992-07-10,7.1875,7.25,7.0625,7.125,4.338806629180908,866200
17,1992-07-13,7.125,7.25,7.125,7.1875,4.376866340637207,846600
18,1992-07-14,7.125,7.25,7.125,7.25,4.414928436279297,990000
19,1992-07-15,7.25,7.375,7.25,7.3125,4.452986240386963,1080400
20,1992-07-16,7.25,7.3125,7.125,7.1875,4.376866340637207,2689000
21,1992-07-17,7.0625,7.3125,7.0625,7.3125,4.452986240386963,840400
22,1992-07-20,6.9375,7.1875,6.875,7.125,4.338806629180908,1228200
23,1992-07-21,7.0,7.25,7.0,7.125,4.338806629180908,1279600
24,1992-07-22,6.9375,7.5625,6.9375,7.375,4.49104642868042,2743000
25,1992-07-23,7.3125,7.5,7.3125,7.3125,4.452986240386963,2203800
26,1992-07-24,7.25,7.5,7.25,7.4375,4.529105186462402,1404000
27,1992-07-27,7.4375,7.5625,7.3125,7.5,4.567165374755859,1308000
28,1992-07-28,7.4375,7.5625,7.375,7.5,4.567165374755859,1134400
29,1992-07-29,7.5,7.5625,7.25,7.375,4.49104642868042,1697600
30,1992-07-30,7.4375,7.5,7.25,7.5,4.567165374755859,912800
31,1992-07-31,7.4375,7.5625,7.4375,7.5625,4.605227470397949,1303000
32,1992-08-03,7.5,7.6875,7.4375,7.6875,4.681344985961914,1616800
33,1992-08-04,7.6875,7.8125,7.6875,7.75,4.7194037437438965,1457000
34,1992-08-05,7.75,7.8125,7.75,7.75,4.7194037437438965,492000
35,1992-08-06,7.6875,7.75,7.5,7.625,4.643283843994141,1277800
36,1992-08-07,7.4375,7.5625,7.4375,7.5,4.567165374755859,306200
37,1992-08-10,7.3125,7.5,7.25,7.4375,4.529105186462402,593000
38,1992-08-11,7.4375,7.4375,7.25,7.25,4.414928436279297,1804800
39,1992-08-12,7.4375,7.5,7.125,7.25,4.414928436279297,1591600
40,1992-08-13,7.3125,7.5625,7.3125,7.5,4.567165374755859,1100600
41,1992-08-14,7.5,7.9375,7.5,7.875,4.795522689819336,1476600
42,1992-08-17,7.75,8.0,7.75,7.9375,4.833584785461426,1461000
43,1992-08-18,8.0,8.1875,7.9375,8.0,4.871641635894775,1660200
44,1992-08-19,8.0,8.125,7.875,7.9375,4.833584785461426,928000
45,1992-08-20,8.0,8.0625,8.0,8.0625,4.90970516204834,370400
46,1992-08-21,8.0,8.3125,8.0,8.25,5.02388334274292,3771600
47,1992-08-24,7.9375,8.1875,7.9375,8.0625,4.90970516204834,2085000
48,1992-08-25,8.125,8.1875,7.9375,8.125,4.947763919830322,1168800
49,1992-08-26,8.0625,8.1875,8.0,8.1875,4.985821723937988,1347000
50,1992-08-27,8.1875,8.25,8.125,8.125,4.947763919830322,764400
51,1992-08-28,8.0625,8.125,8.0,8.0625,4.90970516204834,516800
52,1992-08-31,8.125,8.125,8.0625,8.0625,4.90970516204834,304000
53,1992-09-01,8.0,8.125,7.9375,8.0,4.890446662902832,1067400
54,1992-09-02,7.9375,8.0,7.8125,7.875,4.814033031463623,1153600
55,1992-09-03,7.875,7.9375,7.8125,7.8125,4.775829792022705,474800
56,1992-09-04,7.875,7.875,7.6875,7.6875,4.699414253234863,461600
57,1992-09-08,7.75,7.8125,7.6875,7.6875,4.699414253234863,693800
58,1992-09-09,7.75,7.9375,7.75,7.9375,4.852240085601807,474200
59,1992-09-10,8.0,8.0625,7.875,7.9375,4.852240085601807,867200
60,1992-09-11,8.0,8.0625,7.875,7.9375,4.852240085601807,856600
61,1992-09-14,8.0625,8.25,8.0625,8.25,5.043272495269775,1092800
62,1992-09-15,8.0625,8.1875,8.0625,8.0625,4.928652763366699,1036400
63,1992-09-16,8.0,8.125,7.875,8.125,4.966858863830566,864000
64,1992-09-17,8.125,8.125,8.0,8.125,4.966858863830566,660000
65,1992-09-18,8.125,8.1875,8.0625,8.1875,5.005066871643066,1351400
66,1992-09-21,8.125,8.1875,8.0625,8.125,4.966858863830566,491200
67,1992-09-22,8.125,8.1875,8.0625,8.0625,4.928652763366699,1030000
68,1992-09-23,8.0,8.0625,7.8125,7.9375,4.852240085601807,714800
69,1992-09-24,7.9375,8.1875,7.9375,8.125,4.966858863830566,639400
70,1992-09-25,8.125,8.125,8.0,8.125,4.966858863830566,438800
71,1992-09-28,8.0625,8.1875,8.0625,8.1875,5.005066871643066,217600
72,1992-09-29,8.1875,8.1875,8.0625,8.0625,4.928652763366699,313000
73,1992-09-30,8.125,8.125,7.9375,8.0,4.890446662902832,675200
74,1992-10-01,7.9375,8.0,7.75,7.875,4.814033031463623,727800
75,1992-10-02,7.875,8.0,7.75,7.875,4.814033031463623,376000
76,1992-10-05,7.8125,7.875,7.4375,7.8125,4.775829792022705,815800
77,1992-10-06,7.75,7.8125,7.5,7.75,4.7376227378845215,600800
78,1992-10-07,7.8125,8.0,7.75,7.9375,4.852240085601807,491400
79,1992-10-08,7.9375,8.0625,7.9375,8.0,4.890446662902832,327400
80,1992-10-09,7.9375,7.9375,7.625,7.625,4.661205291748047,628200
81,1992-10-12,7.6875,7.75,7.5,7.5625,4.623000621795654,629600
82,1992-10-13,7.5625,7.75,7.5625,7.6875,4.699414253234863,1432200
83,1992-10-14,7.625,7.8125,7.5625,7.6875,4.699414253234863,941200
84,1992-10-15,7.625,7.75,7.5625,7.5625,4.623000621795654,944000
85,1992-10-16,7.5625,7.625,7.5625,7.625,4.661205291748047,404800
86,1992-10-19,7.625,7.875,7.625,7.875,4.814033031463623,336200
87,1992-10-20,7.9375,8.0625,7.8125,7.875,4.814033031463623,1016800
88,1992-10-21,7.875,7.875,7.8125,7.875,4.814033031463623,297000
89,1992-10-22,7.875,7.9375,7.625,7.75,4.7376227378845215,648800
90,1992-10-23,7.625,7.75,7.625,7.75,4.7376227378845215,455400
91,1992-10-26,7.75,7.875,7.75,7.8125,4.775829792022705,757600
92,1992-10-27,7.875,8.0,7.8125,7.9375,4.852240085601807,611600
93,1992-10-28,7.9375,8.0,7.875,8.0,4.890446662902832,1490800
94,1992-10-29,7.9375,7.9375,7.8125,7.8125,4.775829792022705,442000
95,1992-10-30,7.875,7.9375,7.8125,7.875,4.814033031463623,786200
96,1992-11-02,7.9375,8.0,7.875,7.9375,4.852240085601807,529000
97,1992-11-03,7.9375,8.0625,7.9375,7.9375,4.852240085601807,1005000
98,1992-11-04,7.9375,7.9375,7.875,7.9375,4.852240085601807,338000
99,1992-11-05,7.875,8.0625,7.875,8.0625,4.928652763366699,1018800
100,1992-11-06,7.9375,8.25,7.9375,8.125,4.966858863830566,1850000
101,1992-11-09,8.0625,8.4375,8.0625,8.25,5.043272495269775,1272200
102,1992-11-10,8.25,8.5625,8.25,8.375,5.119688510894775,2574600
103,1992-11-11,8.4375,8.5,8.375,8.5,5.19610071182251,974400
104,1992-11-12,8.4375,8.4375,8.25,8.3125,5.081478595733643,1504400
105,1992-11-13,8.25,8.375,8.1875,8.375,5.119688510894775,654600
106,1992-11-16,8.375,8.375,8.0625,8.125,4.966858863830566,2219600
107,1992-11-17,8.125,8.1875,8.0,8.0625,4.928652763366699,2032000
108,1992-11-18,8.0625,8.3125,8.0625,8.25,5.043272495269775,807200
109,1992-11-19,8.1875,8.3125,8.125,8.25,5.043272495269775,1040000
110,1992-11-20,8.3125,8.3125,8.125,8.25,5.043272495269775,1954000
111,1992-11-23,8.1875,8.25,8.0,8.0,4.890446662902832,1565400
112,1992-11-24,8.0625,8.25,8.0625,8.125,4.966858863830566,470400
113,1992-11-25,8.25,8.375,8.1875,8.3125,5.081478595733643,1022000
114,1992-11-27,8.3125,8.375,8.3125,8.375,5.119688510894775,747800
115,1992-11-30,8.375,8.4375,8.25,8.25,5.043272495269775,998000
116,1992-12-01,8.25,8.375,8.125,8.1875,5.023945331573486,2407000
117,1992-12-02,8.1875,8.375,8.125,8.3125,5.100646495819092,1942400
118,1992-12-03,8.3125,8.4375,8.25,8.25,5.062295913696289,1448200
119,1992-12-04,8.375,8.4375,8.3125,8.375,5.138998031616211,1611400
120,1992-12-07,8.3125,8.4375,8.25,8.375,5.138998031616211,884800
121,1992-12-08,8.25,8.3125,8.25,8.3125,5.100646495819092,1178000
122,1992-12-09,8.3125,8.375,8.25,8.25,5.062295913696289,815000
123,1992-12-10,8.25,8.5,8.25,8.4375,5.177346706390381,1170600
124,1992-12-11,8.3125,8.375,8.25,8.3125,5.100646495819092,461600
125,1992-12-14,8.3125,8.375,8.125,8.125,4.985594749450684,967400
126,1992-12-15,7.875,8.0,7.8125,8.0,4.908890724182129,2203000
127,1992-12-16,8.0,8.1875,8.0,8.125,4.985594749450684,834600
128,1992-12-17,8.0625,8.4375,8.0625,8.375,5.138998031616211,1126000
129,1992-12-18,8.375,8.375,8.1875,8.3125,5.100646495819092,1563200
130,1992-12-21,8.375,8.375,8.25,8.25,5.062295913696289,901000
131,1992-12-22,8.3125,8.4375,8.1875,8.25,5.062295913696289,1963800
132,1992-12-23,8.3125,8.375,8.25,8.25,5.062295913696289,474600
133,1992-12-24,8.25,8.3125,8.1875,8.25,5.062295913696289,447800
134,1992-12-28,8.125,8.1875,7.9375,8.125,4.985594749450684,1947200
135,1992-12-29,8.125,8.25,8.125,8.125,4.985594749450684,482400
136,1992-12-30,8.125,8.25,8.125,8.25,5.062295913696289,591000
137,1992-12-31,8.1875,8.375,8.1875,8.375,5.138998031616211,1022000
138,1993-01-04,8.3125,8.375,8.1875,8.1875,5.023945331573486,1185200
139,1993-01-05,8.1875,8.375,8.125,8.25,5.062295913696289,878600
140,1993-01-06,8.3125,8.5,8.25,8.4375,5.177346706390381,564400
141,1993-01-07,8.4375,8.75,8.4375,8.5625,5.254049301147461,3073800
142,1993-01-08,8.5,8.6875,8.375,8.4375,5.177346706390381,1084000
143,1993-01-11,8.375,8.625,8.3125,8.625,5.292397975921631,1454400
144,1993-01-12,8.5625,8.5625,8.4375,8.5625,5.254049301147461,1041400
145,1993-01-13,8.5625,8.625,8.5,8.5,5.215700149536133,905800
146,1993-01-14,8.5,8.625,8.5,8.5625,5.254049301147461,704800
147,1993-01-15,8.5625,8.5625,8.3125,8.375,5.138998031616211,1567000
148,1993-01-18,8.375,8.4375,8.375,8.375,5.138998031616211,521600
149,1993-01-19,8.375,8.625,8.375,8.625,5.292397975921631,1416200
150,1993-01-20,8.5,8.6875,8.375,8.625,5.292397975921631,1809200
151,1993-01-21,8.625,8.6875,8.5,8.625,5.292397975921631,2216200
152,1993-01-22,8.5625,8.625,8.375,8.375,5.138998031616211,2587600
153,1993-01-25,8.4375,8.625,8.375,8.5625,5.254049301147461,2629200
154,1993-01-26,8.625,8.75,8.5,8.5625,5.254049301147461,1378800
155,1993-01-27,8.5,8.5625,8.3125,8.4375,5.177346706390381,3023400
156,1993-01-28,8.3125,8.4375,8.25,8.375,5.138998031616211,1312600
157,1993-01-29,8.375,8.4375,8.1875,8.3125,5.100646495819092,1787800
158,1993-02-01,8.375,8.4375,8.3125,8.4375,5.177346706390381,490600
