Date,Open,High,Low,Close,Adj Close,Volume
0,1980-03-17,0.0,9.1875,9.125,9.125,3.020136833190918,41600
1,1980-03-18,0.0,9.125,9.09375,9.09375,3.0097930431365967,29200
2,1980-03-19,0.0,9.25,9.09375,9.25,3.061507225036621,25600
3,1980-03-20,0.0,9.40625,9.25,9.28125,3.071850299835205,48000
4,1980-03-21,0.0,9.34375,9.125,9.15625,3.03047776222229,87600
5,1980-03-24,0.0,9.21875,9.125,9.125,3.020136833190918,25600
6,1980-03-25,0.0,9.09375,9.0625,9.0625,2.9994499683380127,72400
7,1980-03-26,0.0,9.0625,8.84375,8.90625,2.947734832763672,20400
8,1980-03-27,0.0,8.75,8.25,8.3125,2.7512195110321045,44800
9,1980-03-28,0.0,8.5,8.375,8.375,2.771904945373535,40000
10,1980-03-31,0.0,8.4375,8.1875,8.4375,2.7925915718078613,48400
11,1980-04-01,0.0,8.5625,8.3125,8.5625,2.833961009979248,60000
12,1980-04-02,0.0,8.75,8.53125,8.71875,2.8856773376464844,42000
13,1980-04-03,0.0,8.625,8.5,8.59375,2.844305515289306,20800
14,1980-04-07,0.0,8.6875,8.5,8.5,2.8132762908935547,32400
15,1980-04-08,0.0,8.6875,8.5,8.6875,2.875333070755005,27600
16,1980-04-09,0.0,8.71875,8.59375,8.71875,2.8856773376464844,18000
17,1980-04-10,0.0,8.9375,8.8125,8.90625,2.947734832763672,29200
18,1980-04-11,0.0,9.0625,8.90625,9.0625,2.9994499683380127,28000
19,1980-04-14,0.0,9.0625,8.875,8.875,2.9373927116394043,29200
20,1980-04-15,0.0,8.875,8.625,8.6875,2.875333070755005,25600
21,1980-04-16,0.0,8.6875,8.5625,8.5625,2.833961009979248,40400
22,1980-04-17,0.0,8.6875,8.4375,8.6875,2.875333070755005,29200
23,1980-04-18,0.0,8.875,8.65625,8.75,2.896019220352173,30400
24,1980-04-21,0.0,8.875,8.75,8.75,2.896019220352173,8800
25,1980-04-22,0.0,9.03125,8.75,9.03125,2.989107370376587,26400
26,1980-04-23,0.0,9.125,9.0,9.0625,2.9994499683380127,5600
27,1980-04-24,0.0,9.25,9.0,9.21875,3.0511634349823,86800
28,1980-04-25,0.0,9.21875,9.15625,9.21875,3.0511634349823,4800
29,1980-04-28,0.0,9.15625,9.0,9.0625,2.9994499683380127,15200
30,1980-04-29,0.0,9.1875,9.0,9.09375,3.0097930431365967,17600
31,1980-04-30,0.0,9.15625,9.03125,9.09375,3.0097930431365967,29600
32,1980-05-01,0.0,9.15625,8.90625,8.90625,2.947734832763672,19200
33,1980-05-02,0.0,9.0625,8.90625,9.0,2.978764295578003,83200
34,1980-05-05,0.0,9.0,8.9375,9.0,2.978764295578003,79600
35,1980-05-06,0.0,9.25,9.03125,9.25,3.061507225036621,79200
36,1980-05-07,0.0,9.65625,9.34375,9.5625,3.164937973022461,173600
37,1980-05-08,0.0,9.59375,9.3125,9.40625,3.113221406936645,112400
38,1980-05-09,0.0,9.40625,9.09375,9.09375,3.0097930431365967,34400
39,1980-05-12,0.0,9.1875,9.0625,9.125,3.020136833190918,12800
40,1980-05-13,0.0,9.21875,9.0625,9.0625,2.9994499683380127,34800
41,1980-05-14,0.0,9.28125,9.03125,9.25,3.061507225036621,48400
42,1980-05-15,0.0,9.25,9.21875,9.25,3.061507225036621,26400
43,1980-05-16,0.0,9.25,9.125,9.21875,3.0511634349823,30800
44,1980-05-19,0.0,9.21875,9.15625,9.15625,3.03047776222229,20800
45,1980-05-20,0.0,9.25,9.21875,9.21875,3.0511634349823,65600
46,1980-05-21,0.0,9.3125,9.1875,9.21875,3.0511634349823,47200
47,1980-05-22,0.0,9.3125,9.21875,9.28125,3.071850299835205,32800
48,1980-05-23,0.0,9.625,9.375,9.59375,3.175279140472412,46000
49,1980-05-27,0.0,9.75,9.5625,9.625,3.185620784759521,76400
50,1980-05-28,0.0,9.6875,9.625,9.65625,3.195964813232422,72000
51,1980-05-29,0.0,9.71875,9.625,9.625,3.185620784759521,223600
52,1980-05-30,0.0,9.71875,9.625,9.6875,3.206308126449585,58800
53,1980-06-02,0.0,9.71875,9.625,9.625,3.185620784759521,26800
54,1980-06-03,0.0,9.71875,9.59375,9.71875,3.216650485992432,12000
55,1980-06-04,0.0,9.84375,9.6875,9.8125,3.2476792335510254,87200
56,1980-06-05,0.0,9.96875,9.84375,9.875,3.268364191055298,47200
57,1980-06-06,0.0,10.0,9.8125,10.0,3.309736013412476,40400
58,1980-06-09,0.0,10.0625,9.875,9.9375,3.2890520095825195,24400
59,1980-06-10,0.0,10.15625,10.0625,10.0625,3.3304224014282227,56800
60,1980-06-11,0.0,10.1875,10.0625,10.15625,3.3614540100097656,24400
61,1980-06-12,0.0,10.5,10.15625,10.25,3.3924810886383057,56400
62,1980-06-13,0.0,10.53125,10.21875,10.53125,3.485568761825561,28800
63,1980-06-16,0.0,10.5625,10.5,10.5625,3.495910882949829,56800
64,1980-06-17,0.0,10.6875,10.5625,10.65625,3.526937961578369,48400
65,1980-06-18,0.0,10.59375,10.53125,10.59375,3.5062508583068848,20000
66,1980-06-19,0.0,10.59375,10.53125,10.53125,3.485568761825561,24400
67,1980-06-20,0.0,10.53125,10.4375,10.4375,3.454538583755493,91200
68,1980-06-23,0.0,10.4375,10.375,10.375,3.433852195739746,20000
69,1980-06-24,0.0,10.5625,10.375,10.46875,3.4648783206939697,13600
70,1980-06-25,0.0,10.5625,10.4375,10.5625,3.495910882949829,17600
71,1980-06-26,0.0,10.59375,10.375,10.40625,3.44419527053833,20000
72,1980-06-27,0.0,10.40625,10.34375,10.40625,3.44419527053833,10400
73,1980-06-30,0.0,10.4375,10.3125,10.3125,3.4131674766540527,43600
74,1980-07-01,0.0,10.5,10.3125,10.4375,3.454538583755493,78800
75,1980-07-02,0.0,10.625,10.375,10.5625,3.495910882949829,20800
76,1980-07-03,0.0,10.5,10.4375,10.4375,3.454538583755493,26400
77,1980-07-07,0.0,10.5,10.4375,10.4375,3.454538583755493,20800
78,1980-07-08,0.0,10.625,10.53125,10.625,3.516594886779785,30800
79,1980-07-09,0.0,10.6875,10.5625,10.625,3.516594886779785,111600
80,1980-07-10,0.0,10.5625,10.4375,10.4375,3.454538583755493,24800
81,1980-07-11,0.0,10.5,10.34375,10.5,3.4752235412597656,90400
82,1980-07-14,0.0,10.625,10.46875,10.625,3.516594886779785,12800
83,1980-07-15,0.0,10.875,10.65625,10.75,3.5579662322998047,50400
84,1980-07-16,0.0,10.875,10.625,10.875,3.5993385314941406,46000
85,1980-07-17,0.0,10.875,10.75,10.75,3.5579662322998047,5200
86,1980-07-18,0.0,10.875,10.75,10.84375,3.588995933532715,44800
87,1980-07-21,0.0,10.84375,10.75,10.78125,3.568309545516968,38800
88,1980-07-22,0.0,10.9375,10.75,10.75,3.5579662322998047,58400
