Date,Open,High,Low,Close,Adj Close,Volume
0,1973-02-21,0.0,22.625,22.125,22.375,5.22728443145752,4300
1,1973-02-22,0.0,22.5,22.125,22.5,5.256485939025879,4000
2,1973-02-23,0.0,22.5,22.0,22.0,5.139675140380859,3500
3,1973-02-26,0.0,22.125,21.75,21.875,5.110474109649658,2200
4,1973-02-27,0.0,21.875,21.5,21.5,5.022863388061523,6400
5,1973-02-28,0.0,21.75,21.5,21.625,5.052068710327148,2200
6,1973-03-01,0.0,21.875,21.5,21.625,5.052068710327148,6200
7,1973-03-02,0.0,21.875,21.625,21.75,5.081268310546875,3100
8,1973-03-05,0.0,22.0,20.5,20.75,4.847647190093994,27800
9,1973-03-06,0.0,21.125,20.875,20.875,4.8768486976623535,7900
10,1973-03-07,0.0,21.375,21.0,21.25,4.964457511901856,4400
11,1973-03-08,0.0,21.625,21.0,21.25,4.964457511901856,14200
12,1973-03-09,0.0,21.375,20.875,20.875,4.8768486976623535,3600
13,1973-03-12,0.0,20.875,20.5,20.5,4.789244651794434,4800
14,1973-03-13,0.0,21.375,20.5,21.125,4.935255527496338,8400
15,1973-03-14,0.0,21.25,20.75,21.0,4.906051635742188,9500
16,1973-03-15,0.0,21.375,21.0,21.0,4.906051635742188,6600
17,1973-03-16,0.0,21.375,20.75,20.75,4.847647190093994,5900
18,1973-03-19,0.0,21.0,20.625,20.625,4.818445205688477,5900
19,1973-03-20,0.0,20.5,20.25,20.375,4.760043621063232,6300
20,1973-03-21,0.0,20.375,20.25,20.375,4.760043621063232,5700
21,1973-03-22,0.0,20.375,19.875,19.875,4.64323091506958,7000
22,1973-03-23,0.0,20.0,19.625,20.0,4.672431945800781,10400
23,1973-03-26,0.0,20.25,20.0,20.25,4.730837345123291,5700
24,1973-03-27,0.0,20.375,20.0,20.25,4.730837345123291,8300
25,1973-03-28,0.0,20.5,20.125,20.25,4.730837345123291,3500
26,1973-03-29,0.0,20.625,20.0,20.5,4.789244651794434,34400
27,1973-03-30,0.0,20.75,20.5,20.625,4.818445205688477,3400
28,1973-04-02,0.0,20.75,19.875,19.875,4.64323091506958,19000
29,1973-04-03,0.0,19.875,19.75,19.875,4.64323091506958,7700
30,1973-04-04,0.0,19.875,19.5,19.5,4.555620193481445,17200
31,1973-04-05,0.0,19.625,19.25,19.625,4.584824085235596,7400
32,1973-04-06,0.0,19.625,19.25,19.375,4.526416778564453,9300
33,1973-04-09,0.0,20.125,19.5,20.0,4.672431945800781,5500
34,1973-04-10,0.0,20.125,19.625,19.875,4.64323091506958,22500
35,1973-04-11,0.0,20.0,19.875,19.875,4.64323091506958,10800
36,1973-04-12,0.0,20.125,19.75,20.0,4.672431945800781,22900
37,1973-04-13,0.0,20.625,20.25,20.5,4.789244651794434,7600
38,1973-04-16,0.0,20.75,20.375,20.625,4.818445205688477,3000
39,1973-04-17,0.0,21.0,20.75,20.75,4.847647190093994,1900
40,1973-04-18,0.0,21.125,20.875,21.125,4.935255527496338,1800
41,1973-04-19,0.0,22.25,21.125,21.875,5.110474109649658,7000
42,1973-04-23,0.0,22.5,22.0,22.125,5.168876647949219,18900
43,1973-04-24,0.0,22.25,21.875,21.875,5.110474109649658,5400
44,1973-04-25,0.0,21.375,20.875,21.25,5.03115701675415,3800
45,1973-04-26,0.0,21.375,21.125,21.25,5.03115701675415,3100
46,1973-04-27,0.0,21.5,21.125,21.25,5.03115701675415,3800
47,1973-04-30,0.0,21.5,21.0,21.0,4.971967697143555,5700
48,1973-05-01,0.0,21.5,21.125,21.125,5.00156307220459,6900
49,1973-05-02,0.0,21.5,21.0,21.5,5.0903496742248535,5000
50,1973-05-03,0.0,21.75,21.25,21.75,5.149540424346924,3800
51,1973-05-04,0.0,22.625,22.0,22.375,5.297513484954834,6800
52,1973-05-07,0.0,22.5,21.75,21.75,5.149540424346924,5100
53,1973-05-08,0.0,21.75,21.5,21.75,5.149540424346924,8300
54,1973-05-09,0.0,21.875,21.625,21.625,5.119942665100098,2500
55,1973-05-10,0.0,21.875,21.625,21.75,5.149540424346924,13700
56,1973-05-11,0.0,21.75,21.625,21.75,5.149540424346924,6700
57,1973-05-14,0.0,21.375,20.75,21.125,5.00156307220459,10900
58,1973-05-15,0.0,21.25,20.75,21.0,4.971967697143555,9800
59,1973-05-16,0.0,21.375,20.75,21.0,4.971967697143555,4400
60,1973-05-17,0.0,21.0,20.875,20.875,4.942373275756836,2000
61,1973-05-18,0.0,20.75,20.25,20.25,4.794397354125977,8700
62,1973-05-21,0.0,20.5,20.125,20.125,4.764803886413574,3900
63,1973-05-22,0.0,20.5,20.125,20.25,4.794397354125977,2100
64,1973-05-23,0.0,20.75,20.125,20.5,4.853587627410889,6500
65,1973-05-24,0.0,21.0,20.75,21.0,4.971967697143555,4600
66,1973-05-25,0.0,21.5,21.0,21.25,5.03115701675415,4400
67,1973-05-29,0.0,21.375,21.125,21.125,5.00156307220459,2500
