Date,Open,High,Low,Close,Adj Close,Volume
0,1993-04-28,9.125,9.375,9.0,9.125,5.865181922912598,7821000
1,1993-04-29,9.125,9.3125,9.125,9.3125,5.985700607299805,2118800
2,1993-04-30,9.375,9.375,9.125,9.1875,5.9053568840026855,536800
3,1993-05-03,9.125,9.1875,9.0625,9.1875,5.9053568840026855,509600
4,1993-05-04,9.1875,9.1875,8.9375,9.0625,5.82501220703125,787400
5,1993-05-05,9.0,9.0625,8.875,8.875,5.704492092132568,747200
6,1993-05-06,8.9375,9.0,8.8125,8.8125,5.664321422576904,392800
7,1993-05-07,8.875,8.9375,8.8125,8.875,5.704492092132568,180000
8,1993-05-10,8.9375,9.0625,8.875,8.875,5.704492092132568,269600
9,1993-05-11,8.9375,8.9375,8.875,8.9375,5.744664669036865,109400
10,1993-05-12,8.875,8.875,8.6875,8.8125,5.664321422576904,110800
11,1993-05-13,8.8125,8.8125,8.75,8.75,5.624146461486816,171000
12,1993-05-14,8.75,8.875,8.75,8.75,5.624146461486816,166800
13,1993-05-17,8.75,8.75,8.5625,8.625,5.543800354003906,132000
14,1993-05-18,8.625,8.625,8.0,8.25,5.302767276763916,534400
15,1993-05-19,8.375,8.5625,8.375,8.4375,5.423284530639648,203600
16,1993-05-20,8.3125,8.375,7.9375,8.125,5.22242546081543,1189000
17,1993-05-21,8.1875,8.25,8.0,8.1875,5.262595653533936,475600
18,1993-05-24,8.25,8.25,8.0,8.125,5.22242546081543,719200
19,1993-05-25,8.0,8.0625,7.8125,7.9375,5.1019062995910645,326600
20,1993-05-26,8.0,8.3125,8.0,8.25,5.302767276763916,209200
21,1993-05-27,8.375,8.5625,8.25,8.5,5.463457107543945,307800
22,1993-05-28,8.625,8.8125,8.4375,8.6875,5.583972930908203,986400
23,1993-06-01,8.75,8.75,8.4375,8.5,5.463457107543945,116800
24,1993-06-02,8.5,8.6875,8.4375,8.6875,5.583972930908203,205200
25,1993-06-03,8.6875,8.6875,8.5,8.5,5.463457107543945,92000
26,1993-06-04,8.5625,8.625,8.5,8.5625,5.503632068634033,118200
27,1993-06-07,8.5,8.6875,8.5,8.625,5.543800354003906,60000
28,1993-06-08,8.625,8.625,8.5,8.5625,5.503632068634033,298200
29,1993-06-09,8.5625,8.5625,8.4375,8.4375,5.423284530639648,27400
30,1993-06-10,8.4375,8.625,8.4375,8.5625,5.503632068634033,153600
31,1993-06-11,8.6875,8.8125,8.5625,8.8125,5.664321422576904,84200
32,1993-06-14,8.9375,9.0,8.75,8.9375,5.744664669036865,434000
33,1993-06-15,8.875,9.125,8.8125,8.875,5.704492092132568,169600
34,1993-06-16,8.875,9.0625,8.875,8.9375,5.744664669036865,288200
35,1993-06-17,9.0,9.0,8.8125,8.9375,5.744664669036865,165400
36,1993-06-18,8.9375,9.0,8.8125,8.875,5.704492092132568,89400
37,1993-06-21,8.8125,8.9375,8.8125,8.875,5.704492092132568,34200
38,1993-06-22,8.9375,9.0625,8.8125,8.875,5.704492092132568,143000
39,1993-06-23,8.875,9.0,8.75,8.75,5.624146461486816,23600
40,1993-06-24,8.75,9.0,8.75,8.8125,5.664321422576904,58200
41,1993-06-25,8.8125,9.25,8.8125,9.1875,5.9053568840026855,370000
42,1993-06-28,9.1875,9.625,9.0625,9.5625,6.146389484405518,135200
43,1993-06-29,9.75,9.75,9.4375,9.5,6.10621452331543,575600
44,1993-06-30,9.5,9.5,9.375,9.5,6.10621452331543,132000
45,1993-07-01,9.5,9.625,9.4375,9.625,6.18656063079834,120800
46,1993-07-02,9.625,9.75,9.5,9.5,6.10621452331543,239400
47,1993-07-06,9.5,9.625,9.3125,9.3125,5.985700607299805,87200
48,1993-07-07,9.375,9.375,9.1875,9.25,5.945527076721191,74400
49,1993-07-08,9.3125,9.5625,9.25,9.5,6.10621452331543,104000
50,1993-07-09,9.5,9.5625,9.4375,9.5,6.10621452331543,302600
51,1993-07-12,9.5625,9.5625,9.4375,9.5,6.10621452331543,98200
52,1993-07-13,9.5,9.5625,9.4375,9.5,6.10621452331543,212400
53,1993-07-14,9.5,9.75,9.5,9.75,6.266903400421143,153200
54,1993-07-15,9.75,9.75,9.6875,9.75,6.266903400421143,133800
55,1993-07-16,9.75,9.75,9.625,9.75,6.266903400421143,126000
56,1993-07-19,9.6875,9.8125,9.6875,9.75,6.266903400421143,244800
57,1993-07-20,9.75,9.75,9.6875,9.75,6.266903400421143,111000
58,1993-07-21,9.8125,9.9375,9.75,9.9375,6.387423515319824,117400
59,1993-07-22,9.9375,10.125,9.9375,10.0625,6.46776819229126,240600
60,1993-07-23,10.0625,10.125,9.875,9.875,6.347250938415527,138200
61,1993-07-26,9.875,10.0625,9.75,10.0625,6.46776819229126,236200
62,1993-07-27,10.125,10.3125,10.125,10.25,6.588286876678467,259200
63,1993-07-28,10.75,11.1875,10.6875,11.0625,7.110527038574219,583200
64,1993-07-29,11.1875,11.6875,11.125,11.4375,7.351569652557373,344800
65,1993-07-30,11.5,11.6875,11.4375,11.6875,7.512256622314453,217800
66,1993-08-02,11.6875,11.875,11.625,11.625,7.4720778465271,511400
67,1993-08-03,11.625,11.625,11.125,11.5,7.391737937927246,161000
68,1993-08-04,11.375,11.875,11.375,11.8125,7.592602252960205,129200
69,1993-08-05,11.875,12.3125,11.875,12.1875,7.8336358070373535,270200
70,1993-08-06,12.0625,12.125,11.875,11.9375,7.672949314117432,397600
71,1993-08-09,11.9375,12.0625,11.875,12.0,7.71311092376709,148200
72,1993-08-10,12.0,12.0,11.625,11.6875,7.512256622314453,104000
73,1993-08-11,11.6875,11.875,11.6875,11.75,7.552425861358643,77400
74,1993-08-12,11.75,11.75,11.4375,11.75,7.552425861358643,64000
75,1993-08-13,11.75,11.75,11.5625,11.6875,7.512256622314453,17600
76,1993-08-16,11.6875,11.75,11.5,11.75,7.552425861358643,119600
77,1993-08-17,11.625,11.9375,11.625,11.9375,7.672949314117432,82800
78,1993-08-18,12.0,12.25,12.0,12.0,7.71311092376709,98800
79,1993-08-19,12.0,12.125,11.8125,12.125,7.7934651374816895,96600
80,1993-08-20,12.0,12.0625,11.8125,12.0,7.71311092376709,43600
81,1993-08-23,11.9375,12.0,11.875,12.0,7.71311092376709,280200
82,1993-08-24,12.0,12.1875,12.0,12.0625,7.753286361694336,279000
83,1993-08-25,12.0625,12.3125,12.0625,12.3125,7.913975715637207,97600
84,1993-08-26,12.1875,12.1875,11.9375,12.0,7.769909381866455,258600
85,1993-08-27,12.0625,12.0625,11.4375,11.5625,7.486636161804199,315800
86,1993-08-30,11.5,11.8125,11.5,11.8125,7.648508548736572,31600
87,1993-08-31,11.875,11.9375,11.8125,11.875,7.688979625701904,58600
88,1993-09-01,11.875,12.125,11.75,12.0625,7.810378551483154,104000
89,1993-09-02,12.0625,12.4375,12.0625,12.4375,8.053191184997559,174600
90,1993-09-03,12.4375,12.5,12.1875,12.25,7.931787014007568,349000
91,1993-09-07,12.0625,12.25,12.0625,12.1875,7.891318321228027,86200
92,1993-09-08,12.1875,12.1875,12.0,12.0625,7.810378551483154,123000
93,1993-09-09,11.9375,12.0625,11.875,11.9375,7.729448318481445,41200
94,1993-09-10,11.8125,11.875,11.6875,11.75,7.608036994934082,126000
95,1993-09-13,11.875,11.875,11.75,11.8125,7.648508548736572,143600
96,1993-09-14,11.75,11.75,11.3125,11.4375,7.405702590942383,412400
97,1993-09-15,11.3125,11.4375,11.25,11.4375,7.405702590942383,195200
98,1993-09-16,11.4375,11.625,11.375,11.5625,7.486636161804199,125400
99,1993-09-17,11.5,11.625,11.5,11.5625,7.486636161804199,227600
100,1993-09-20,11.6875,11.875,11.6875,11.875,7.688979625701904,48200
101,1993-09-21,11.8125,11.9375,11.5625,11.5625,7.486636161804199,17600
102,1993-09-22,11.5625,11.6875,11.5,11.6875,7.567571640014648,47800
103,1993-09-23,11.75,12.125,11.75,12.0,7.769909381866455,218600
104,1993-09-24,12.0625,12.125,11.9375,12.0,7.769909381866455,43600
