,Date,Open,High,Low,Close,Adj Close,Volume
0,1997-12-18,14.5,16.125,14.375,15.0,15.0,1905200
1,1997-12-19,15.0,15.625,14.6875,15.5,15.5,275200
2,1997-12-22,15.5,15.875,15.0,15.0,15.0,88300
3,1997-12-23,15.0,15.8125,15.0,15.5,15.5,74500
4,1997-12-24,16.0,16.25,16.0,16.25,16.25,45400
5,1997-12-26,16.3125,17.0,16.25,17.0,17.0,45400
6,1997-12-29,16.75,17.875,16.75,17.8125,17.8125,107100
7,1997-12-30,17.8125,18.0625,17.5625,17.9375,17.9375,49600
8,1997-12-31,18.0,19.3125,17.8125,19.3125,19.3125,50800
9,1998-01-02,20.25,20.25,19.0625,20.0625,20.0625,209500
10,1998-01-05,20.5,20.75,18.25,18.8125,18.8125,384300
11,1998-01-06,19.375,19.875,18.625,19.375,19.375,195600
12,1998-01-07,19.4375,19.4375,18.375,18.875,18.875,97700
13,1998-01-08,19.0,19.1875,18.4375,18.4375,18.4375,61300
14,1998-01-09,18.6875,18.6875,17.5,18.25,18.25,101700
15,1998-01-12,18.25,18.25,17.25,17.8125,17.8125,138500
16,1998-01-13,19.375,20.0,19.0,19.875,19.875,297400
17,1998-01-14,20.3125,20.75,20.0,20.625,20.625,135600
18,1998-01-15,20.75,22.5,20.75,21.125,21.125,219900
19,1998-01-16,21.375,21.5625,21.125,21.375,21.375,47300
20,1998-01-20,21.8125,22.5,21.8125,21.9375,21.9375,60600
21,1998-01-21,21.9375,23.375,21.9375,22.25,22.25,89700
22,1998-01-22,22.375,22.75,22.0,22.0625,22.0625,29500
23,1998-01-23,22.25,22.25,21.125,21.75,21.75,48100
24,1998-01-26,22.25,22.4375,21.5,21.875,21.875,40000
25,1998-01-27,22.0,22.375,21.8125,22.1875,22.1875,106600
26,1998-01-28,22.375,23.25,22.375,23.0,23.0,44300
27,1998-01-29,23.125,23.875,23.0,23.625,23.625,22200
28,1998-01-30,23.5,24.0,23.25,23.875,23.875,24000
29,1998-02-02,25.0,25.0,23.6875,24.5,24.5,63000
30,1998-02-03,24.625,24.625,24.1875,24.3125,24.3125,34900
31,1998-02-04,24.5,25.625,24.375,25.5,25.5,71900
32,1998-02-05,24.75,25.25,24.375,24.9375,24.9375,130700
33,1998-02-06,25.25,25.75,25.25,25.625,25.625,32000
34,1998-02-09,26.25,26.5625,25.9375,26.0,26.0,62100
35,1998-02-10,26.0,26.625,25.75,26.5,26.5,80100
36,1998-02-11,26.625,27.375,26.5,27.125,27.125,41700
37,1998-02-12,27.125,27.125,26.5,26.5,26.5,28400
38,1998-02-13,26.5,26.875,26.0,26.0625,26.0625,58500
39,1998-02-17,26.1875,26.875,26.1875,26.875,26.875,18000
40,1998-02-18,26.75,26.875,25.8125,25.8125,25.8125,26100
41,1998-02-19,25.75,25.75,23.75,24.5625,24.5625,76300
42,1998-02-20,24.5,25.4375,24.5,24.625,24.625,30600
43,1998-02-23,24.875,25.5,24.875,25.3125,25.3125,29200
44,1998-02-24,25.4375,25.5,25.1875,25.1875,25.1875,6400
45,1998-02-25,25.4375,25.4375,25.0625,25.4375,25.4375,9800
46,1998-02-26,25.1875,25.25,25.125,25.125,25.125,2900
47,1998-02-27,25.25,25.4375,24.6875,24.6875,24.6875,31400
48,1998-03-02,24.8125,25.25,24.5,24.9375,24.9375,45100
49,1998-03-03,25.0625,25.625,25.0625,25.5,25.5,23700
50,1998-03-04,25.5625,26.375,25.5625,26.375,26.375,62700
51,1998-03-05,26.25,26.375,25.5625,25.5625,25.5625,74700
52,1998-03-06,26.25,26.6875,25.5625,25.5625,25.5625,2289400
53,1998-03-09,25.5625,26.125,25.375,25.5625,25.5625,463200
54,1998-03-10,25.625,25.75,25.125,25.125,25.125,284100
55,1998-03-11,25.1875,25.3125,24.0,25.125,25.125,253100
56,1998-03-12,25.3125,25.625,25.25,25.375,25.375,242400
57,1998-03-13,25.5,25.625,25.0,25.5,25.5,107500
58,1998-03-16,25.375,25.375,25.0,25.0625,25.0625,64800
59,1998-03-17,25.1875,25.625,25.0625,25.625,25.625,266100
60,1998-03-18,25.375,25.375,24.25,24.25,24.25,402500
61,1998-03-19,24.375,25.0,24.375,24.5,24.5,318000
62,1998-03-20,24.25,24.25,23.5,23.5,23.5,273500
63,1998-03-23,23.5,23.75,21.5,21.9375,21.9375,486500
64,1998-03-24,22.75,24.375,22.625,24.375,24.375,391600
65,1998-03-25,24.5,25.25,24.0625,24.875,24.875,256600
66,1998-03-26,24.5,24.625,24.1875,24.25,24.25,57200
67,1998-03-27,24.25,25.375,24.25,25.25,25.25,80500
68,1998-03-30,25.0,25.0,24.25,24.5625,24.5625,201700
69,1998-03-31,24.5,26.0,24.5,26.0,26.0,146300
70,1998-04-01,26.0,26.0,25.0,25.3125,25.3125,60500
71,1998-04-02,25.25,25.375,25.0,25.3125,25.3125,79900
72,1998-04-03,25.3125,26.375,25.3125,25.75,25.75,173400
73,1998-04-06,25.9375,25.9375,25.25,25.3125,25.3125,51600
74,1998-04-07,25.4375,25.4375,24.125,24.375,24.375,86400
75,1998-04-08,24.25,24.8125,24.25,24.75,24.75,81900
76,1998-04-09,25.0,25.25,24.875,25.125,25.125,63300
77,1998-04-13,25.25,26.0625,25.0,25.875,25.875,84300
78,1998-04-14,28.75,29.875,27.875,29.875,29.875,561700
79,1998-04-15,29.75,30.25,28.75,30.125,30.125,212200
80,1998-04-16,30.125,31.625,30.125,31.375,31.375,154300
81,1998-04-17,31.125,31.875,31.0625,31.5,31.5,94200
82,1998-04-20,31.3125,31.625,30.0,30.25,30.25,79700
83,1998-04-21,30.5,31.375,30.25,31.0,31.0,47200
84,1998-04-22,31.125,31.75,31.0,31.625,31.625,42000
85,1998-04-23,31.75,31.75,30.125,30.5,30.5,62100
86,1998-04-24,30.4375,30.5,29.375,30.5,30.5,112600
87,1998-04-27,29.75,30.5,29.1875,30.5,30.5,65700
88,1998-04-28,33.75,34.125,33.25,34.0625,34.0625,321000
89,1998-04-29,34.5,35.3125,34.25,34.5,34.5,215300
90,1998-04-30,34.625,35.9375,34.4375,34.4375,34.4375,108700
91,1998-05-01,34.4375,34.8125,34.4375,34.5,34.5,36400
92,1998-05-04,34.625,35.1875,34.5,34.625,34.625,314200
93,1998-05-05,34.625,35.375,34.5,35.125,35.125,57000
94,1998-05-06,35.125,35.5,35.0,35.5,35.5,464800
95,1998-05-07,35.375,35.75,34.875,34.875,34.875,30900
96,1998-05-08,35.0,35.5,34.9375,35.5,35.5,38200
97,1998-05-11,35.75,37.25,35.75,36.5625,36.5625,103000
98,1998-05-12,36.75,36.9375,36.5,36.5625,36.5625,39000
99,1998-05-13,36.5,37.25,36.5,37.0,37.0,281400
100,1998-05-14,37.0,37.0,36.0,36.25,36.25,88100
101,1998-05-15,36.25,36.3125,36.125,36.125,36.125,87200
102,1998-05-18,35.875,35.875,33.75,33.75,33.75,220400
103,1998-05-19,34.0,34.5,33.0,33.75,33.75,135400
104,1998-05-20,33.875,34.0,33.5,33.9375,33.9375,120600
105,1998-05-21,34.0,34.0,33.6875,33.9375,33.9375,31400
106,1998-05-22,34.0,34.0,33.875,33.9375,33.9375,23100
107,1998-05-26,34.0,35.625,34.0,35.25,35.25,140300
108,1998-05-27,35.25,35.375,34.46875,34.5,34.5,51700
109,1998-05-28,34.5,34.625,34.125,34.125,34.125,54900
110,1998-05-29,34.125,34.625,34.125,34.5,34.5,29200
111,1998-06-01,34.5,34.9375,34.4375,34.9375,34.9375,17400
112,1998-06-02,35.0,35.25,34.6875,35.0,35.0,18400
113,1998-06-03,35.0,36.0,35.0,36.0,36.0,95300
114,1998-06-04,35.875,36.0,35.875,36.0,36.0,149600
115,1998-06-05,36.1875,36.4375,35.375,35.4375,35.4375,56000
116,1998-06-08,35.5,35.75,35.1875,35.375,35.375,51200
117,1998-06-09,35.625,35.75,35.5,35.75,35.75,99800
118,1998-06-10,35.75,35.75,35.3125,35.4375,35.4375,14600
119,1998-06-11,35.4375,35.4375,34.875,35.0,35.0,23000
120,1998-06-12,35.0,35.0625,34.0,34.3125,34.3125,37700
121,1998-06-15,34.0,34.0,32.875,33.375,33.375,37300
122,1998-06-16,36.5,38.0,35.75,35.75,35.75,2313200
123,1998-06-17,35.75,36.5,35.75,36.375,36.375,808600
124,1998-06-18,36.375,36.375,35.5,35.875,35.875,470900
125,1998-06-19,35.9375,36.0625,35.75,36.0,36.0,155000
126,1998-06-22,36.0,36.375,35.9375,36.375,36.375,109000
127,1998-06-23,36.375,37.375,36.3125,37.0625,37.0625,375500
128,1998-06-24,37.125,37.4375,36.9375,37.21875,37.21875,162000
129,1998-06-25,37.625,38.875,37.5,38.875,38.875,92900
130,1998-06-26,38.875,39.6875,38.875,39.625,39.625,105400
131,1998-06-29,39.75,41.25,39.75,41.125,41.125,210600
132,1998-06-30,41.0,42.0,40.8125,42.0,42.0,267800
133,1998-07-01,42.0,42.0,41.125,41.75,41.75,56800
134,1998-07-02,41.75,41.75,41.625,41.6875,41.6875,9900
135,1998-07-06,41.9375,42.625,41.9375,42.1875,42.1875,88500
136,1998-07-07,42.4375,44.3125,42.375,43.875,43.875,155000
137,1998-07-08,44.0,45.375,44.0,45.375,45.375,134700
138,1998-07-09,45.625,45.75,45.125,45.25,45.25,145300
139,1998-07-10,45.25,45.25,44.0,44.4375,44.4375,131800
140,1998-07-13,44.6875,46.75,44.6875,46.0625,46.0625,159100
141,1998-07-14,45.875,45.9375,44.9375,45.0,45.0,144500
142,1998-07-15,45.0,45.25,45.0,45.1875,45.1875,86500
143,1998-07-16,45.0625,46.1875,45.0,45.9375,45.9375,123100
144,1998-07-17,45.9375,46.5625,45.8125,46.4375,46.4375,154600
145,1998-07-20,46.4375,48.0625,46.375,48.0,48.0,188400
146,1998-07-21,48.0,48.0,46.3125,46.3125,46.3125,139700
147,1998-07-22,45.6875,45.6875,44.0625,44.375,44.375,120300
148,1998-07-23,44.4375,44.875,43.0,43.0,43.0,90100
149,1998-07-24,43.3125,43.5625,43.0625,43.25,43.25,87100
150,1998-07-27,43.375,43.375,40.375,41.75,41.75,578000
151,1998-07-28,41.625,41.6875,38.5,38.8125,38.8125,892900
152,1998-07-29,39.0,39.0,36.0,36.8125,36.8125,614100
153,1998-07-30,36.8125,36.8125,34.75,35.1875,35.1875,1379100
154,1998-07-31,34.75,34.75,33.25,33.9375,33.9375,1481900
155,1998-08-03,34.0,34.25,33.875,33.9375,33.9375,353100
156,1998-08-04,34.0,34.875,34.0,34.5625,34.5625,763100
157,1998-08-05,34.6875,36.3125,34.5,36.0,36.0,777800
158,1998-08-06,36.0,36.0,35.5,35.6875,35.6875,404000
159,1998-08-07,35.625,35.6875,34.9375,35.5,35.5,260300
160,1998-08-10,35.5,35.5,34.75,34.9375,34.9375,224600
161,1998-08-11,34.0,34.0625,33.6875,33.75,33.75,173800
162,1998-08-12,34.0,34.25,33.5,33.6875,33.6875,118800
163,1998-08-13,33.6875,33.6875,30.5,31.125,31.125,140600
164,1998-08-14,31.25,32.0,31.0,31.25,31.25,212800
165,1998-08-17,31.4375,31.4375,28.75,29.0,29.0,420600
166,1998-08-18,29.0625,32.875,29.0,32.875,32.875,661600
167,1998-08-19,33.375,33.6875,33.125,33.125,33.125,288000
168,1998-08-20,33.125,33.125,31.4375,31.5,31.5,125800
169,1998-08-21,31.0,31.0,29.9375,30.8125,30.8125,176900
170,1998-08-24,30.875,30.875,29.625,30.0,30.0,151000
171,1998-08-25,30.0,31.25,29.875,29.875,29.875,187500
172,1998-08-26,29.875,29.875,27.75,27.8125,27.8125,226600
173,1998-08-27,26.5,26.5,25.0,25.0,25.0,268600
174,1998-08-28,25.25,26.0,23.5,26.0,26.0,286300
175,1998-08-31,26.375,26.5,18.75,19.5,19.5,508600
176,1998-09-01,20.25,20.375,18.125,18.125,18.125,423700
177,1998-09-02,18.375,20.1875,18.375,19.8125,19.8125,363100
178,1998-09-03,19.5,20.375,19.5,20.0,20.0,306800
179,1998-09-04,20.5,20.5625,20.125,20.125,20.125,227900
180,1998-09-08,20.75,21.125,20.5625,20.75,20.75,194700
181,1998-09-09,20.75,20.9375,19.5625,19.5625,19.5625,403100
182,1998-09-10,19.5,19.5,17.75,18.5,18.5,398200
183,1998-09-11,18.625,19.625,18.625,19.0,19.0,104300
184,1998-09-14,19.75,21.1875,19.75,20.5625,20.5625,91400
185,1998-09-15,20.75,21.0625,20.6875,21.0625,21.0625,67700
186,1998-09-16,20.875,21.6875,20.875,21.6875,21.6875,70800
187,1998-09-17,21.0,21.1875,19.5,20.25,20.25,144500
188,1998-09-18,20.5,21.0,19.75,20.0625,20.0625,212200
