,Date,Open,High,Low,Close,Adj Close,Volume
0,1995-06-16,7.5,8.0,7.4375,7.5,6.945633411407471,6212400
1,1995-06-19,7.5625,7.625,7.0625,7.1875,6.65623140335083,1528200
2,1995-06-20,7.25,7.3125,7.1875,7.1875,6.65623140335083,863000
3,1995-06-21,7.25,7.25,7.0,7.0625,6.540468692779541,629000
4,1995-06-22,7.0625,7.5625,7.0,7.3125,6.771994113922119,546200
5,1995-06-23,7.375,7.4375,7.25,7.3125,6.771994113922119,365000
6,1995-06-26,7.3125,7.375,7.0,7.0625,6.540468692779541,515400
7,1995-06-27,7.125,7.125,7.0,7.0,6.482592105865479,270800
8,1995-06-28,7.0625,7.0625,7.0,7.0,6.482592105865479,500400
9,1995-06-29,7.0,7.125,7.0,7.0,6.482592105865479,309200
10,1995-06-30,7.0625,7.1875,7.0625,7.125,6.59835147857666,95000
11,1995-07-03,7.0625,7.125,7.0625,7.0625,6.540468692779541,9200
12,1995-07-05,7.125,7.125,7.0625,7.0625,6.540468692779541,75600
13,1995-07-06,7.0625,7.125,7.0625,7.0625,6.540468692779541,81400
14,1995-07-07,7.0625,7.625,7.0625,7.5625,7.003511428833008,475000
15,1995-07-10,7.5,7.75,7.5,7.75,7.177151203155518,241400
16,1995-07-11,7.625,8.5625,7.625,8.5,7.871715545654297,538600
17,1995-07-12,8.5,9.0625,8.375,9.0,8.334755897521973,496200
18,1995-07-13,9.0,9.0,8.8125,8.9375,8.276875495910645,384000
19,1995-07-14,8.9375,8.9375,8.75,8.9375,8.276875495910645,102200
20,1995-07-17,9.0625,9.5,9.0625,9.4375,8.739923477172852,480200
21,1995-07-18,9.4375,9.4375,9.0,9.0625,8.392635345458984,359200
22,1995-07-19,9.0,9.0,8.8125,8.875,8.219003677368164,101600
23,1995-07-20,8.75,8.75,8.4375,8.6875,8.04536247253418,119600
24,1995-07-21,8.75,8.75,8.6875,8.6875,8.04536247253418,13000
25,1995-07-24,8.6875,8.8125,8.5625,8.5625,7.929598331451416,112000
26,1995-07-25,8.5625,8.8125,8.5625,8.75,8.103236198425293,201000
27,1995-07-26,8.875,9.1875,8.875,9.125,8.450515747070312,287800
28,1995-07-27,9.1875,9.375,9.1875,9.3125,8.624165534973145,101600
29,1995-07-28,9.375,9.4375,9.3125,9.3125,8.624165534973145,100400
30,1995-07-31,9.375,9.375,9.0625,9.25,8.566282272338867,60800
31,1995-08-01,9.1875,9.1875,9.0,9.0625,8.392635345458984,57600
32,1995-08-02,9.0,9.0,8.875,8.875,8.219003677368164,41000
33,1995-08-03,8.8125,8.8125,8.75,8.75,8.103236198425293,12600
34,1995-08-04,8.625,8.6875,8.5625,8.625,7.98747444152832,9000
35,1995-08-07,8.5625,8.75,8.5625,8.6875,8.04536247253418,12200
36,1995-08-08,8.625,8.6875,8.5625,8.5625,7.929598331451416,3200
37,1995-08-09,8.4375,8.4375,8.1875,8.1875,7.582313060760498,24000
38,1995-08-10,8.25,8.25,8.125,8.125,7.524435997009277,6800
39,1995-08-11,8.125,8.125,8.125,8.125,7.524435997009277,10000
40,1995-08-14,8.0625,8.125,7.9375,8.0,7.408674716949463,28200
41,1995-08-15,8.0,8.0625,8.0,8.0,7.408674716949463,9400
42,1995-08-16,8.0625,8.25,8.0625,8.1875,7.582313060760498,11800
43,1995-08-17,8.1875,8.3125,8.1875,8.25,7.640199184417725,6200
44,1995-08-18,8.375,8.375,8.25,8.25,7.640199184417725,9800
45,1995-08-21,8.25,8.4375,8.25,8.375,7.755953311920166,8600
46,1995-08-22,8.3125,8.4375,8.3125,8.4375,7.813836097717285,12400
47,1995-08-23,8.5,8.6875,8.5,8.5625,7.929598331451416,28800
48,1995-08-24,8.625,8.75,8.625,8.75,8.103236198425293,16200
49,1995-08-25,8.625,8.625,8.5625,8.5625,7.929598331451416,30200
50,1995-08-28,8.5625,8.5625,8.4375,8.4375,7.813836097717285,9200
51,1995-08-29,8.375,8.375,8.1875,8.1875,7.582313060760498,9200
52,1995-08-30,8.25,8.25,8.1875,8.1875,7.582313060760498,1400
53,1995-08-31,8.125,8.1875,8.125,8.125,7.524435997009277,13800
54,1995-09-01,8.0,8.0625,8.0,8.0625,7.466555595397949,9200
55,1995-09-05,8.0,8.0625,8.0,8.0,7.408674716949463,12200
56,1995-09-06,7.9375,8.0625,7.8125,7.8125,7.23503303527832,23400
57,1995-09-07,7.8125,7.875,7.625,7.75,7.177151203155518,48800
58,1995-09-08,7.75,8.0,7.75,7.9375,7.350795269012451,140200
59,1995-09-11,7.9375,7.9375,7.8125,7.875,7.292914867401123,104000
60,1995-09-12,7.9375,8.0,7.9375,8.0,7.408674716949463,11000
61,1995-09-13,8.125,8.125,7.8125,7.8125,7.23503303527832,14600
62,1995-09-14,7.625,7.8125,7.625,7.8125,7.23503303527832,14800
63,1995-09-15,7.75,7.75,7.6875,7.75,7.177151203155518,6200
64,1995-09-18,7.75,7.75,7.5,7.5,6.945633411407471,41600
65,1995-09-19,7.5625,7.625,7.5,7.5,6.945633411407471,5000
66,1995-09-20,7.5,7.5,7.1875,7.25,6.714112758636475,20800
67,1995-09-21,7.1875,7.375,7.125,7.375,6.829870700836182,61000
68,1995-09-22,7.4375,7.5,7.375,7.375,6.829870700836182,53400
69,1995-09-25,7.4375,7.5,7.3125,7.3125,6.771994113922119,28200
70,1995-09-26,7.25,7.375,7.125,7.3125,6.771994113922119,265000
71,1995-09-27,7.3125,7.3125,7.0625,7.0625,6.540468692779541,95200
72,1995-09-28,7.125,7.1875,7.0625,7.1875,6.65623140335083,68600
73,1995-09-29,7.125,7.1875,7.125,7.1875,6.65623140335083,12200
74,1995-10-02,7.1875,7.1875,7.0625,7.125,6.59835147857666,77400
75,1995-10-03,7.125,7.125,6.75,6.75,6.251070976257324,141400
76,1995-10-04,6.625,6.625,6.5625,6.5625,6.077426433563232,49000
77,1995-10-05,6.4375,7.375,6.4375,7.375,6.829870700836182,180400
78,1995-10-06,7.5625,7.5625,7.4375,7.5625,7.003511428833008,64800
79,1995-10-09,7.5,7.5,7.3125,7.3125,6.771994113922119,46200
80,1995-10-10,7.3125,7.3125,7.25,7.3125,6.771994113922119,22800
81,1995-10-11,7.3125,7.3125,7.3125,7.3125,6.771994113922119,3400
82,1995-10-12,7.375,7.4375,7.3125,7.375,6.829870700836182,20200
83,1995-10-13,7.4375,7.5,7.4375,7.5,6.945633411407471,6800
84,1995-10-16,7.5,7.5,7.4375,7.4375,6.887752532958984,7400
85,1995-10-17,7.4375,7.5,7.25,7.3125,6.771994113922119,264800
86,1995-10-18,7.25,7.25,6.75,6.75,6.251070976257324,54400
87,1995-10-19,6.75,6.875,6.625,6.75,6.251070976257324,108800
88,1995-10-20,6.75,6.75,6.5,6.5,6.019549369812012,17000
89,1995-10-23,6.3125,6.4375,6.25,6.3125,5.845906734466553,414800
90,1995-10-24,6.3125,6.375,6.25,6.25,5.788028717041016,174400
